driver_rating,food_type,weather_condition,packaging_type,customer_past_complaints,city,delivery_duration,complaint
2.6,Non-Veg,Clear,Plastic,2,Kothrud,46.2,0
3.8,Non-Veg,Storm,Foil,3,Hadapsar,19.9,0
4.7,Veg,Fog,Paper,4,Shivaji Nagar,65.6,1
2.6,Veg,Storm,Foil,4,Wakad,79.8,0
4.7,Non-Veg,Clear,Plastic,1,Swargate,86.8,0
2.4,Non-Veg,Storm,Foil,1,Pimpri,51.7,1
4.8,Veg,Fog,Plastic,3,Swargate,69.1,0
3.2,Veg,Storm,Paper,4,Hinjewadi,88.6,0
3.0,Non-Veg,Storm,Box,0,Koregaon Park,53.8,0
2.8,Veg,Clear,Box,4,Viman Nagar,72.5,0
4.7,Veg,Fog,Foil,0,Swargate,82.1,0
3.4,Veg,Clear,Box,1,Wakad,23.9,0
1.6,Veg,Storm,Foil,2,Shivaji Nagar,89.5,1
1.3,Non-Veg,Storm,Paper,1,Wakad,34.6,1
4.6,Non-Veg,Rain,Paper,4,Baner,28.6,0
4.5,Non-Veg,Storm,Foil,0,Wakad,80.4,1
1.2,Non-Veg,Fog,Paper,5,Baner,66.7,1
2.0,Non-Veg,Clear,Plastic,3,Baner,16.8,1
3.2,Non-Veg,Fog,Plastic,3,Baner,41.0,0
2.9,Non-Veg,Fog,Box,4,Wakad,63.8,1
2.4,Veg,Storm,Foil,4,Wakad,12.0,0
3.7,Veg,Clear,Plastic,2,Kothrud,14.0,0
2.2,Veg,Storm,Plastic,0,Kothrud,10.9,0
2.7,Veg,Storm,Box,1,Viman Nagar,40.8,0
2.7,Veg,Clear,Box,1,Wakad,37.5,0
2.6,Veg,Fog,Plastic,0,Wakad,22.4,0
4.8,Non-Veg,Clear,Box,2,Koregaon Park,42.2,0
1.7,Veg,Rain,Plastic,2,Hadapsar,88.8,1
2.6,Veg,Storm,Plastic,1,Hadapsar,27.7,0
2.8,Non-Veg,Clear,Paper,4,Hinjewadi,73.1,1
1.0,Non-Veg,Fog,Paper,0,Wakad,48.1,0
2.5,Veg,Fog,Foil,2,Pimpri,47.6,0
4.7,Non-Veg,Rain,Box,0,Hadapsar,63.2,0
2.8,Non-Veg,Fog,Plastic,5,Baner,32.8,1
2.7,Veg,Clear,Paper,4,Wakad,89.6,1
2.5,Non-Veg,Rain,Box,2,Hinjewadi,77.4,0
2.4,Non-Veg,Fog,Box,5,Koregaon Park,88.8,1
3.6,Non-Veg,Storm,Box,2,Wakad,82.4,1
2.1,Veg,Clear,Box,3,Pimpri,74.4,1
2.2,Veg,Storm,Paper,4,Shivaji Nagar,11.6,1
4.9,Veg,Fog,Plastic,0,Hadapsar,38.2,0
2.4,Veg,Storm,Foil,2,Shivaji Nagar,62.2,0
4.3,Non-Veg,Clear,Paper,5,Shivaji Nagar,50.9,0
1.8,Non-Veg,Storm,Foil,0,Pimpri,12.0,1
4.5,Veg,Fog,Paper,5,Wakad,85.8,1
3.7,Veg,Fog,Foil,1,Viman Nagar,10.5,0
3.8,Veg,Rain,Foil,0,Baner,25.7,1
2.0,Veg,Clear,Box,2,Baner,86.5,1
3.7,Non-Veg,Clear,Plastic,4,Swargate,72.5,0
1.6,Non-Veg,Clear,Box,0,Wakad,64.1,1
4.3,Veg,Rain,Box,5,Baner,41.9,0
1.8,Non-Veg,Storm,Foil,2,Kothrud,89.8,1
3.1,Veg,Rain,Paper,2,Viman Nagar,68.9,1
4.8,Veg,Storm,Plastic,3,Wakad,79.9,0
2.0,Non-Veg,Storm,Plastic,5,Baner,55.2,1
3.6,Non-Veg,Fog,Box,5,Shivaji Nagar,43.3,0
2.8,Non-Veg,Clear,Paper,5,Pimpri,52.4,0
1.7,Veg,Rain,Box,1,Baner,44.3,0
2.2,Non-Veg,Fog,Box,5,Pimpri,10.0,1
2.9,Non-Veg,Storm,Box,2,Viman Nagar,39.6,0
3.4,Non-Veg,Storm,Paper,1,Swargate,10.9,0
1.2,Veg,Storm,Box,5,Shivaji Nagar,73.3,0
3.9,Non-Veg,Clear,Foil,3,Hadapsar,34.2,0
2.3,Veg,Fog,Plastic,0,Koregaon Park,73.5,1
4.4,Veg,Storm,Plastic,4,Swargate,88.8,1
4.4,Non-Veg,Storm,Foil,4,Baner,34.2,0
4.6,Non-Veg,Storm,Foil,1,Baner,77.7,1
2.4,Veg,Storm,Paper,0,Hinjewadi,73.7,0
3.2,Non-Veg,Storm,Plastic,1,Viman Nagar,88.2,0
3.0,Non-Veg,Clear,Plastic,3,Shivaji Nagar,18.3,0
2.3,Non-Veg,Clear,Paper,1,Swargate,74.6,0
1.0,Non-Veg,Clear,Paper,4,Pimpri,62.1,0
4.3,Non-Veg,Fog,Box,2,Pimpri,74.5,0
4.2,Veg,Storm,Foil,1,Baner,41.8,0
4.8,Veg,Storm,Box,5,Shivaji Nagar,21.0,0
3.2,Non-Veg,Clear,Paper,3,Baner,29.2,0
2.6,Veg,Fog,Paper,2,Shivaji Nagar,79.6,0
3.4,Non-Veg,Storm,Plastic,3,Koregaon Park,73.2,1
3.0,Veg,Storm,Foil,3,Viman Nagar,86.4,1
4.4,Veg,Clear,Paper,1,Wakad,57.1,0
1.7,Veg,Fog,Foil,0,Hinjewadi,58.4,1
5.0,Veg,Fog,Foil,2,Shivaji Nagar,17.8,0
4.4,Veg,Fog,Paper,2,Viman Nagar,70.0,0
2.1,Non-Veg,Fog,Paper,5,Viman Nagar,48.1,1
4.3,Veg,Fog,Foil,4,Swargate,73.7,0
1.5,Veg,Clear,Foil,4,Swargate,75.3,1
1.9,Non-Veg,Clear,Foil,0,Wakad,16.9,1
4.1,Veg,Clear,Foil,3,Shivaji Nagar,61.0,0
2.0,Non-Veg,Fog,Plastic,1,Koregaon Park,31.8,0
1.6,Veg,Storm,Paper,5,Hinjewadi,39.6,1
3.3,Veg,Storm,Paper,0,Wakad,64.2,1
4.2,Non-Veg,Rain,Plastic,0,Hinjewadi,59.9,0
1.4,Veg,Clear,Paper,1,Wakad,12.6,0
3.1,Veg,Rain,Box,2,Koregaon Park,76.7,0
2.7,Veg,Storm,Paper,4,Shivaji Nagar,57.2,0
4.2,Veg,Clear,Paper,2,Kothrud,38.7,0
5.0,Non-Veg,Rain,Paper,2,Hadapsar,36.2,0
4.2,Non-Veg,Fog,Box,4,Hadapsar,27.1,0
1.8,Veg,Storm,Paper,5,Baner,16.8,0
3.8,Non-Veg,Rain,Box,0,Hadapsar,56.6,1
4.8,Non-Veg,Storm,Plastic,5,Shivaji Nagar,18.1,1
2.9,Non-Veg,Fog,Paper,3,Hadapsar,79.8,0
3.0,Veg,Clear,Box,2,Viman Nagar,43.9,0
4.0,Non-Veg,Clear,Paper,5,Hinjewadi,32.3,0
3.6,Veg,Rain,Foil,5,Shivaji Nagar,47.2,0
2.5,Non-Veg,Fog,Box,0,Shivaji Nagar,87.3,0
2.4,Non-Veg,Storm,Foil,0,Hinjewadi,73.6,0
2.7,Veg,Rain,Plastic,4,Koregaon Park,71.0,0
4.7,Veg,Rain,Plastic,4,Hadapsar,42.4,1
4.3,Veg,Clear,Box,0,Kothrud,55.0,0
1.4,Veg,Fog,Foil,5,Hadapsar,37.3,1
2.2,Non-Veg,Fog,Paper,4,Wakad,19.8,1
1.9,Non-Veg,Clear,Paper,3,Wakad,20.8,0
2.7,Veg,Storm,Plastic,5,Wakad,22.9,1
1.0,Non-Veg,Rain,Foil,2,Kothrud,17.9,1
2.4,Veg,Clear,Box,1,Koregaon Park,17.6,1
1.3,Non-Veg,Rain,Plastic,4,Swargate,65.8,1
4.9,Veg,Fog,Paper,2,Shivaji Nagar,61.7,0
1.6,Non-Veg,Clear,Box,1,Hadapsar,76.5,1
4.6,Non-Veg,Rain,Paper,0,Hinjewadi,86.2,0
3.0,Veg,Rain,Box,2,Viman Nagar,67.4,0
2.8,Non-Veg,Fog,Foil,0,Hadapsar,39.8,0
3.3,Veg,Storm,Box,5,Koregaon Park,61.7,0
1.8,Non-Veg,Fog,Paper,5,Koregaon Park,82.8,1
2.5,Non-Veg,Rain,Paper,5,Pimpri,82.7,1
3.9,Veg,Rain,Paper,5,Baner,39.7,0
3.5,Veg,Storm,Foil,3,Wakad,80.0,0
2.3,Veg,Storm,Foil,3,Hadapsar,21.6,0
2.2,Veg,Fog,Box,3,Pimpri,42.9,1
1.1,Veg,Clear,Plastic,5,Baner,49.4,1
1.2,Veg,Rain,Plastic,4,Koregaon Park,83.3,1
2.6,Veg,Storm,Box,3,Shivaji Nagar,75.8,1
3.2,Non-Veg,Clear,Box,1,Swargate,49.6,0
4.4,Non-Veg,Storm,Box,3,Hadapsar,70.7,1
4.2,Non-Veg,Clear,Plastic,1,Hinjewadi,24.6,0
2.5,Veg,Storm,Plastic,5,Hadapsar,84.9,1
4.7,Veg,Storm,Plastic,0,Baner,19.8,0
3.3,Non-Veg,Storm,Plastic,5,Pimpri,72.3,1
3.3,Veg,Rain,Plastic,1,Swargate,58.4,0
2.9,Veg,Rain,Paper,1,Wakad,61.6,1
3.3,Veg,Storm,Box,3,Wakad,13.3,0
1.8,Veg,Storm,Foil,3,Baner,36.0,0
3.5,Veg,Rain,Foil,5,Pimpri,83.1,1
2.6,Veg,Clear,Foil,3,Hinjewadi,39.8,0
4.9,Non-Veg,Fog,Foil,0,Pimpri,21.6,0
3.2,Veg,Storm,Foil,1,Koregaon Park,19.8,0
3.7,Veg,Storm,Box,0,Koregaon Park,33.0,0
2.7,Non-Veg,Rain,Plastic,4,Koregaon Park,63.5,0
3.7,Non-Veg,Clear,Plastic,4,Shivaji Nagar,42.6,0
4.1,Non-Veg,Storm,Box,2,Baner,23.0,0
4.4,Veg,Storm,Box,0,Pimpri,72.9,1
3.8,Non-Veg,Storm,Foil,3,Hadapsar,89.6,0
3.8,Veg,Fog,Paper,4,Wakad,15.4,0
2.5,Non-Veg,Fog,Paper,3,Kothrud,75.0,1
3.4,Non-Veg,Rain,Foil,2,Hinjewadi,70.0,0
3.7,Veg,Clear,Plastic,3,Koregaon Park,34.7,0
2.0,Veg,Storm,Paper,4,Hinjewadi,32.2,1
2.3,Veg,Rain,Foil,0,Kothrud,46.7,0
4.9,Veg,Storm,Box,1,Kothrud,88.7,0
2.2,Veg,Clear,Plastic,1,Wakad,32.3,0
3.3,Non-Veg,Clear,Paper,3,Viman Nagar,66.1,1
4.5,Non-Veg,Storm,Box,1,Viman Nagar,20.8,1
2.1,Veg,Fog,Foil,5,Baner,79.6,0
3.5,Non-Veg,Rain,Foil,0,Shivaji Nagar,45.3,0
3.1,Veg,Fog,Foil,1,Swargate,85.0,1
3.4,Veg,Clear,Plastic,3,Hadapsar,43.2,0
1.3,Non-Veg,Fog,Paper,5,Hinjewadi,64.7,1
2.7,Veg,Rain,Paper,1,Swargate,73.1,0
2.0,Non-Veg,Fog,Box,2,Shivaji Nagar,35.9,1
1.5,Non-Veg,Clear,Plastic,1,Baner,27.5,0
4.5,Veg,Fog,Paper,5,Swargate,62.0,0
3.3,Non-Veg,Clear,Paper,3,Baner,41.7,0
3.1,Veg,Clear,Plastic,5,Hadapsar,31.0,0
3.2,Veg,Fog,Plastic,4,Swargate,38.6,0
1.5,Non-Veg,Clear,Plastic,0,Wakad,81.2,0
1.3,Veg,Storm,Box,5,Pimpri,25.2,1
4.7,Non-Veg,Fog,Foil,2,Baner,52.6,0
2.1,Veg,Rain,Foil,3,Hinjewadi,57.5,0
2.2,Veg,Rain,Box,2,Pimpri,67.9,0
2.6,Veg,Fog,Foil,5,Baner,52.7,0
4.6,Non-Veg,Clear,Paper,0,Shivaji Nagar,35.5,0
2.8,Veg,Fog,Plastic,2,Hinjewadi,13.6,0
2.6,Non-Veg,Rain,Box,5,Wakad,80.8,1
1.8,Non-Veg,Clear,Paper,4,Pimpri,42.4,0
4.8,Non-Veg,Rain,Plastic,3,Baner,87.6,1
3.6,Veg,Storm,Paper,3,Wakad,16.7,0
3.4,Non-Veg,Clear,Paper,1,Wakad,85.8,0
2.8,Veg,Rain,Foil,4,Viman Nagar,65.0,0
2.4,Non-Veg,Storm,Foil,0,Wakad,21.3,1
2.2,Veg,Fog,Foil,5,Koregaon Park,60.8,1
1.9,Veg,Storm,Paper,0,Wakad,47.9,0
2.2,Non-Veg,Fog,Foil,4,Swargate,53.6,1
4.2,Veg,Fog,Box,3,Wakad,72.0,1
3.8,Veg,Fog,Box,0,Hadapsar,89.8,1
1.6,Veg,Clear,Box,5,Pimpri,19.8,1
1.5,Non-Veg,Storm,Plastic,0,Baner,36.9,1
4.2,Non-Veg,Storm,Foil,2,Hinjewadi,18.9,0
3.0,Non-Veg,Storm,Foil,5,Shivaji Nagar,58.8,1
1.3,Non-Veg,Clear,Plastic,2,Shivaji Nagar,47.6,0
3.0,Veg,Clear,Paper,4,Hadapsar,74.3,1
4.9,Veg,Storm,Paper,3,Koregaon Park,80.9,0
2.9,Non-Veg,Rain,Box,1,Baner,81.7,0
1.4,Veg,Rain,Paper,0,Viman Nagar,77.8,0
5.0,Veg,Fog,Paper,5,Wakad,65.7,1
2.5,Veg,Storm,Box,4,Pimpri,52.8,0
3.1,Veg,Clear,Box,1,Hadapsar,64.4,0
1.4,Non-Veg,Storm,Foil,3,Baner,35.1,1
1.3,Veg,Storm,Plastic,5,Pimpri,59.6,1
4.0,Non-Veg,Rain,Box,0,Kothrud,47.3,0
1.3,Non-Veg,Clear,Box,3,Viman Nagar,57.7,0
3.8,Veg,Rain,Foil,5,Swargate,66.0,1
3.6,Veg,Clear,Plastic,4,Baner,22.9,0
1.1,Veg,Storm,Foil,4,Viman Nagar,37.8,1
2.7,Non-Veg,Rain,Box,5,Wakad,27.0,0
3.4,Non-Veg,Fog,Paper,1,Kothrud,43.0,0
1.1,Non-Veg,Fog,Plastic,0,Pimpri,81.1,1
3.4,Non-Veg,Rain,Plastic,5,Hinjewadi,66.6,1
3.6,Non-Veg,Clear,Box,1,Baner,35.4,0
3.3,Veg,Storm,Box,5,Swargate,13.2,0
3.6,Veg,Rain,Box,3,Pimpri,25.3,1
4.8,Non-Veg,Fog,Plastic,2,Shivaji Nagar,48.6,1
2.5,Veg,Fog,Plastic,0,Viman Nagar,64.4,1
3.8,Non-Veg,Fog,Paper,2,Hadapsar,21.0,0
2.6,Veg,Fog,Paper,3,Pimpri,89.6,0
1.8,Veg,Fog,Plastic,1,Kothrud,49.4,0
3.2,Veg,Storm,Foil,2,Swargate,70.5,0
1.8,Non-Veg,Fog,Foil,3,Swargate,59.6,1
4.5,Non-Veg,Storm,Plastic,0,Hinjewadi,69.4,0
3.2,Veg,Rain,Box,3,Viman Nagar,72.9,0
1.9,Veg,Clear,Plastic,5,Viman Nagar,69.1,1
4.1,Non-Veg,Rain,Foil,4,Hadapsar,86.4,0
2.7,Non-Veg,Rain,Paper,4,Koregaon Park,37.7,0
3.5,Non-Veg,Clear,Foil,2,Baner,20.9,0
4.5,Non-Veg,Rain,Foil,1,Baner,43.8,0
2.1,Non-Veg,Fog,Box,4,Hinjewadi,63.8,1
3.3,Non-Veg,Rain,Foil,1,Hadapsar,83.9,0
3.3,Veg,Storm,Plastic,0,Baner,60.3,1
4.9,Veg,Clear,Box,3,Kothrud,63.6,0
3.7,Veg,Fog,Plastic,1,Koregaon Park,21.7,0
2.1,Veg,Fog,Foil,1,Kothrud,10.1,1
1.6,Non-Veg,Fog,Foil,0,Kothrud,68.1,1
2.2,Non-Veg,Storm,Plastic,0,Shivaji Nagar,71.5,1
1.1,Non-Veg,Clear,Box,1,Viman Nagar,69.4,1
2.5,Non-Veg,Storm,Paper,3,Baner,29.5,0
4.3,Non-Veg,Storm,Box,1,Hinjewadi,12.4,0
4.3,Non-Veg,Fog,Foil,5,Swargate,88.8,1
3.2,Non-Veg,Rain,Box,1,Baner,55.4,1
2.5,Veg,Rain,Box,3,Swargate,18.0,0
3.7,Veg,Fog,Plastic,5,Hinjewadi,68.4,1
1.5,Non-Veg,Rain,Paper,3,Viman Nagar,48.4,1
1.4,Non-Veg,Storm,Box,4,Kothrud,15.4,1
3.5,Non-Veg,Rain,Foil,5,Shivaji Nagar,83.9,0
3.0,Non-Veg,Storm,Paper,1,Swargate,85.8,0
2.8,Veg,Rain,Foil,0,Wakad,37.2,0
2.9,Veg,Rain,Foil,4,Swargate,63.1,0
4.9,Veg,Fog,Plastic,5,Viman Nagar,31.6,1
4.1,Veg,Clear,Paper,2,Kothrud,47.2,0
1.0,Veg,Clear,Foil,0,Viman Nagar,85.3,1
3.4,Veg,Clear,Plastic,0,Kothrud,43.9,0
2.5,Non-Veg,Fog,Paper,2,Baner,38.7,1
2.3,Veg,Rain,Box,5,Hadapsar,86.3,1
2.6,Veg,Rain,Paper,5,Shivaji Nagar,88.3,0
2.8,Non-Veg,Storm,Foil,3,Koregaon Park,50.4,0
3.7,Veg,Clear,Box,5,Viman Nagar,60.4,1
3.7,Veg,Rain,Paper,2,Baner,75.4,0
2.7,Non-Veg,Storm,Paper,5,Hinjewadi,69.3,0
2.6,Non-Veg,Storm,Plastic,5,Hadapsar,31.5,0
4.0,Non-Veg,Fog,Plastic,0,Wakad,35.7,1
1.6,Veg,Clear,Plastic,5,Hinjewadi,38.6,0
3.3,Non-Veg,Clear,Plastic,3,Koregaon Park,62.5,1
2.8,Non-Veg,Fog,Plastic,3,Pimpri,68.8,1
1.1,Veg,Rain,Foil,4,Viman Nagar,87.0,1
4.7,Veg,Rain,Box,1,Shivaji Nagar,32.1,0
1.1,Veg,Rain,Foil,2,Wakad,43.6,0
1.3,Non-Veg,Fog,Box,3,Hinjewadi,73.5,1
3.6,Veg,Fog,Box,5,Swargate,55.3,1
3.6,Non-Veg,Rain,Foil,2,Viman Nagar,72.8,0
4.7,Veg,Rain,Paper,1,Pimpri,58.4,0
2.7,Non-Veg,Rain,Foil,3,Hinjewadi,44.4,0
1.9,Non-Veg,Fog,Foil,2,Koregaon Park,21.8,1
3.6,Non-Veg,Fog,Plastic,4,Shivaji Nagar,22.0,0
3.6,Veg,Rain,Plastic,2,Hinjewadi,13.0,0
4.9,Non-Veg,Clear,Box,3,Pimpri,48.2,0
3.4,Veg,Fog,Paper,4,Hinjewadi,34.4,0
4.2,Veg,Fog,Foil,1,Wakad,56.0,0
1.4,Veg,Storm,Paper,0,Koregaon Park,18.4,1
4.7,Veg,Rain,Box,1,Wakad,13.5,0
4.8,Non-Veg,Storm,Paper,3,Hinjewadi,10.5,0
1.7,Non-Veg,Clear,Box,1,Koregaon Park,22.5,0
2.3,Non-Veg,Fog,Foil,2,Pimpri,88.3,0
4.1,Veg,Rain,Box,1,Swargate,44.6,0
1.4,Veg,Clear,Foil,4,Hadapsar,88.2,1
1.6,Non-Veg,Clear,Plastic,4,Baner,81.6,1
1.9,Non-Veg,Storm,Box,5,Viman Nagar,22.6,0
1.3,Non-Veg,Rain,Plastic,0,Hinjewadi,74.5,0
3.9,Non-Veg,Storm,Plastic,5,Kothrud,26.1,0
2.5,Non-Veg,Clear,Plastic,4,Hadapsar,36.5,1
1.5,Veg,Storm,Paper,4,Hinjewadi,43.8,1
3.0,Veg,Rain,Foil,0,Wakad,71.3,1
2.5,Veg,Clear,Box,4,Viman Nagar,58.0,0
2.3,Veg,Storm,Plastic,5,Shivaji Nagar,62.7,1
2.6,Veg,Clear,Plastic,1,Viman Nagar,20.0,0
3.3,Veg,Rain,Paper,5,Viman Nagar,58.0,1
4.0,Non-Veg,Storm,Foil,2,Kothrud,26.3,0
3.2,Veg,Rain,Box,4,Shivaji Nagar,13.4,0
3.3,Non-Veg,Rain,Box,2,Hinjewadi,41.4,1
4.2,Veg,Rain,Box,1,Viman Nagar,26.3,1
3.4,Non-Veg,Storm,Paper,4,Hinjewadi,38.3,0
3.6,Non-Veg,Rain,Foil,3,Pimpri,71.5,0
1.9,Non-Veg,Rain,Box,2,Pimpri,73.9,1
3.9,Non-Veg,Rain,Plastic,5,Koregaon Park,51.3,0
3.3,Veg,Storm,Box,1,Hadapsar,20.4,0
1.7,Veg,Storm,Box,0,Hinjewadi,78.3,0
2.7,Non-Veg,Clear,Box,0,Baner,40.1,0
4.2,Non-Veg,Clear,Foil,3,Swargate,59.8,1
1.2,Non-Veg,Clear,Paper,4,Baner,17.6,0
1.4,Veg,Rain,Paper,2,Swargate,71.3,0
1.1,Veg,Fog,Box,0,Hadapsar,47.3,1
2.8,Veg,Clear,Paper,0,Baner,44.3,0
4.4,Non-Veg,Rain,Plastic,2,Hadapsar,48.7,0
2.4,Non-Veg,Fog,Paper,0,Shivaji Nagar,87.4,1
1.3,Veg,Clear,Box,3,Viman Nagar,38.9,0
1.2,Non-Veg,Fog,Paper,4,Kothrud,51.7,0
3.9,Veg,Clear,Box,3,Wakad,83.0,0
4.3,Veg,Fog,Foil,2,Swargate,76.4,1
2.6,Veg,Clear,Plastic,4,Hadapsar,84.5,1
4.1,Non-Veg,Storm,Foil,4,Shivaji Nagar,21.0,0
1.6,Veg,Rain,Paper,4,Shivaji Nagar,47.0,0
3.1,Veg,Rain,Box,5,Viman Nagar,46.6,0
4.6,Non-Veg,Storm,Box,5,Shivaji Nagar,11.0,0
1.8,Non-Veg,Rain,Box,0,Shivaji Nagar,74.3,1
3.6,Veg,Clear,Paper,2,Hadapsar,78.7,1
3.9,Veg,Rain,Box,3,Hadapsar,67.1,0
