order_time,delivery_time,driver_rating,food_type,distance_km,weather_condition,packaging_type,customer_past_complaints,city,complaint
2025-07-10 06:07:38,2025-07-10 07:22:38,4.2,Chinese,12.99,Rain,Paper,3,Kothrud,0
2025-07-09 13:38:19,2025-07-09 14:10:19,4.8,Dessert,2.46,Rain,Paper,3,Pimple Saudagar,1
2025-07-09 13:31:45,2025-07-09 14:02:45,1.4,Burger,10.62,Rain,Foil,0,Wakad,1
2025-07-10 07:18:27,2025-07-10 08:31:27,3.4,Indian,10.84,Clear,Box,4,Wakad,0
2025-07-08 12:08:22,2025-07-08 13:08:22,3.4,Burger,11.3,Rain,Paper,3,Hinjewadi,1
2025-07-08 22:15:42,2025-07-08 22:52:42,3.3,Sandwich,3.99,Clear,Plastic,1,Baner,0
2025-07-09 22:27:25,2025-07-09 23:22:25,1.6,Indian,3.72,Rain,Foil,3,Viman Nagar,1
2025-07-09 11:57:53,2025-07-09 12:35:53,4.6,Chinese,4.99,Fog,Paper,5,Camp,0
2025-07-08 20:26:42,2025-07-08 21:07:42,2.6,Pizza,8.6,Rain,Foil,2,Shivaji Nagar,1
2025-07-09 00:47:37,2025-07-09 01:41:37,1.4,Sandwich,8.3,Clear,Plastic,1,Koregaon Park,1
2025-07-09 10:59:50,2025-07-09 12:04:50,3.6,Burger,5.68,Fog,Plastic,1,Shivaji Nagar,0
2025-07-10 03:20:59,2025-07-10 04:40:59,3.5,Burger,11.69,Storm,Plastic,1,Wakad,1
2025-07-08 13:04:11,2025-07-08 13:51:11,3.5,Sandwich,6.1,Clear,Plastic,5,Kothrud,1
2025-07-09 15:59:19,2025-07-09 16:41:19,1.5,Chinese,10.14,Storm,Plastic,4,Hadapsar,1
2025-07-08 11:21:06,2025-07-08 12:19:06,2.3,Pizza,7.81,Storm,Paper,0,Pimple Saudagar,0
2025-07-09 08:12:10,2025-07-09 09:15:10,3.2,Pizza,3.88,Clear,Paper,1,Shivaji Nagar,0
2025-07-10 03:32:30,2025-07-10 04:40:30,4.0,Dessert,9.78,Clear,Box,4,Camp,1
2025-07-09 09:54:27,2025-07-09 10:34:27,1.7,Sandwich,14.92,Clear,Plastic,3,Hinjewadi,1
2025-07-10 08:23:16,2025-07-10 08:57:16,1.4,Burger,3.8,Rain,Paper,3,Pimple Saudagar,1
2025-07-09 15:57:23,2025-07-09 16:35:23,4.8,Indian,3.24,Fog,Foil,3,Shivaji Nagar,1
2025-07-08 20:29:29,2025-07-08 20:59:29,3.5,Pizza,11.98,Clear,Box,4,Magarpatta,0
2025-07-10 06:23:58,2025-07-10 07:18:58,3.5,Sandwich,8.78,Rain,Box,1,Bavdhan,1
2025-07-08 12:10:21,2025-07-08 13:06:21,3.8,Chinese,14.25,Fog,Paper,2,Camp,1
2025-07-10 02:13:45,2025-07-10 02:53:45,4.7,Chinese,12.98,Storm,Foil,4,Aundh,0
2025-07-09 02:33:32,2025-07-09 03:56:32,3.6,Indian,9.04,Fog,Paper,0,Aundh,0
2025-07-08 10:42:42,2025-07-08 12:10:42,1.2,Sandwich,14.07,Storm,Box,5,Kharadi,1
2025-07-10 09:46:46,2025-07-10 10:43:46,3.5,Chinese,12.14,Rain,Foil,3,Hadapsar,1
2025-07-09 22:19:24,2025-07-09 23:43:24,1.9,Pizza,1.21,Rain,Foil,4,Viman Nagar,1
2025-07-10 06:00:23,2025-07-10 06:28:23,3.2,Pizza,1.92,Clear,Box,4,Baner,0
2025-07-09 11:43:46,2025-07-09 12:52:46,3.4,Sandwich,1.29,Clear,Plastic,5,Viman Nagar,0
2025-07-09 01:20:23,2025-07-09 01:59:23,3.2,Burger,11.91,Rain,Paper,1,Viman Nagar,1
2025-07-08 16:58:48,2025-07-08 17:53:48,2.6,Pizza,13.88,Storm,Foil,2,Wakad,1
2025-07-09 18:42:27,2025-07-09 19:20:27,3.7,Sandwich,7.13,Rain,Box,4,Magarpatta,1
2025-07-09 10:12:43,2025-07-09 11:24:43,1.0,Sandwich,2.49,Fog,Paper,4,Kothrud,0
2025-07-08 14:58:53,2025-07-08 16:27:53,1.7,Pizza,9.11,Rain,Plastic,3,Hadapsar,1
2025-07-08 20:50:20,2025-07-08 21:42:20,2.6,Chinese,3.77,Rain,Box,5,Kothrud,1
2025-07-09 04:37:59,2025-07-09 05:05:59,2.9,Pizza,2.11,Storm,Plastic,1,Baner,1
2025-07-10 03:18:24,2025-07-10 03:56:24,2.4,Pizza,5.29,Rain,Plastic,4,Wakad,1
2025-07-09 18:04:47,2025-07-09 19:14:47,1.2,Dessert,2.2,Storm,Box,1,Hinjewadi,1
2025-07-09 10:04:22,2025-07-09 11:22:22,4.2,Pizza,10.55,Rain,Plastic,4,Baner,0
2025-07-10 01:28:34,2025-07-10 01:53:34,4.1,Pizza,3.61,Rain,Box,3,Koregaon Park,1
2025-07-09 20:33:09,2025-07-09 21:34:09,1.7,Indian,4.45,Storm,Box,1,Bavdhan,0
2025-07-10 07:35:29,2025-07-10 08:28:29,4.0,Dessert,14.78,Fog,Plastic,4,Bavdhan,1
2025-07-09 05:41:24,2025-07-09 06:46:24,1.0,Dessert,14.62,Storm,Box,5,Kharadi,1
2025-07-10 06:12:53,2025-07-10 07:27:53,5.0,Indian,10.62,Storm,Foil,4,Camp,1
2025-07-09 06:55:49,2025-07-09 07:55:49,3.3,Dessert,3.57,Rain,Foil,2,Kothrud,1
2025-07-10 04:55:31,2025-07-10 06:15:31,2.0,Burger,13.16,Fog,Box,1,Wakad,0
2025-07-09 08:22:32,2025-07-09 09:14:32,2.4,Burger,11.7,Fog,Plastic,0,Magarpatta,0
2025-07-10 00:31:23,2025-07-10 01:06:23,3.4,Pizza,12.32,Clear,Foil,0,Hadapsar,1
2025-07-09 17:41:57,2025-07-09 18:53:57,3.2,Burger,10.06,Storm,Paper,3,Hinjewadi,0
2025-07-10 00:31:13,2025-07-10 01:42:13,1.9,Indian,12.71,Rain,Box,5,Viman Nagar,1
2025-07-08 14:14:34,2025-07-08 14:48:34,4.3,Dessert,6.0,Storm,Paper,5,Wakad,0
2025-07-09 12:03:51,2025-07-09 12:56:51,3.4,Chinese,14.31,Fog,Paper,2,Aundh,1
2025-07-09 03:37:35,2025-07-09 05:06:35,4.1,Chinese,1.07,Storm,Paper,4,Magarpatta,0
2025-07-08 21:06:19,2025-07-08 21:45:19,2.4,Burger,6.58,Clear,Paper,4,Hadapsar,1
2025-07-09 08:16:28,2025-07-09 08:47:28,4.8,Indian,5.55,Rain,Foil,0,Hadapsar,1
2025-07-10 07:31:11,2025-07-10 08:14:11,2.4,Sandwich,8.75,Fog,Foil,5,Hinjewadi,1
2025-07-10 09:41:31,2025-07-10 10:01:31,1.5,Sandwich,4.6,Clear,Box,3,Aundh,1
2025-07-09 15:59:51,2025-07-09 17:28:51,3.9,Indian,2.19,Storm,Box,5,Baner,0
2025-07-10 01:12:37,2025-07-10 02:10:37,5.0,Sandwich,10.09,Clear,Paper,0,Wakad,0
2025-07-10 09:11:53,2025-07-10 10:06:53,1.3,Sandwich,1.73,Fog,Paper,1,Kothrud,0
2025-07-09 02:00:01,2025-07-09 03:01:01,1.9,Dessert,4.3,Fog,Foil,1,Pimple Saudagar,1
2025-07-10 00:49:43,2025-07-10 01:52:43,4.8,Dessert,11.97,Storm,Box,4,Kothrud,1
2025-07-08 11:50:25,2025-07-08 12:29:25,3.0,Sandwich,5.86,Rain,Plastic,4,Kothrud,0
2025-07-09 04:49:58,2025-07-09 05:55:58,2.5,Dessert,9.4,Clear,Plastic,4,Viman Nagar,1
2025-07-10 07:25:34,2025-07-10 07:59:34,2.1,Burger,5.66,Storm,Box,2,Magarpatta,1
2025-07-09 09:21:01,2025-07-09 09:46:01,2.4,Burger,7.6,Storm,Paper,5,Pimple Saudagar,0
2025-07-09 01:52:23,2025-07-09 03:05:23,1.6,Sandwich,8.23,Storm,Plastic,5,Baner,1
2025-07-08 10:43:36,2025-07-08 11:59:36,2.3,Chinese,5.88,Rain,Foil,2,Wakad,1
2025-07-08 11:20:56,2025-07-08 11:42:56,2.5,Chinese,6.74,Fog,Paper,0,Camp,1
2025-07-09 22:20:46,2025-07-09 23:39:46,4.6,Pizza,6.67,Storm,Plastic,0,Camp,0
2025-07-09 19:14:01,2025-07-09 20:20:01,2.1,Chinese,9.95,Storm,Plastic,3,Kothrud,1
2025-07-08 14:43:15,2025-07-08 15:23:15,2.4,Burger,2.81,Storm,Foil,1,Hadapsar,0
2025-07-10 08:31:48,2025-07-10 09:50:48,3.1,Pizza,4.74,Fog,Box,3,Kothrud,0
2025-07-08 14:15:24,2025-07-08 15:13:24,1.3,Dessert,4.46,Rain,Paper,5,Aundh,1
2025-07-09 21:15:53,2025-07-09 22:32:53,4.0,Burger,13.79,Fog,Paper,3,Wakad,1
2025-07-08 16:01:37,2025-07-08 17:27:37,1.1,Chinese,8.91,Clear,Box,0,Hadapsar,1
2025-07-08 20:38:09,2025-07-08 22:01:09,3.6,Chinese,12.54,Fog,Box,1,Viman Nagar,1
2025-07-09 16:12:30,2025-07-09 16:43:30,2.1,Burger,5.52,Rain,Box,4,Pimple Saudagar,0
2025-07-08 16:41:59,2025-07-08 17:13:59,2.8,Dessert,4.38,Rain,Foil,5,Wakad,1
2025-07-09 00:12:34,2025-07-09 00:38:34,1.5,Pizza,12.11,Storm,Paper,1,Magarpatta,1
2025-07-08 20:34:28,2025-07-08 21:11:28,2.0,Chinese,13.19,Clear,Paper,3,Aundh,1
2025-07-09 06:40:19,2025-07-09 08:00:19,3.8,Indian,6.19,Fog,Plastic,5,Kharadi,1
2025-07-09 18:55:50,2025-07-09 19:26:50,1.1,Burger,5.19,Clear,Plastic,0,Hadapsar,1
2025-07-08 14:47:40,2025-07-08 15:25:40,3.1,Indian,14.78,Fog,Paper,5,Hinjewadi,1
2025-07-09 11:17:40,2025-07-09 11:40:40,1.2,Sandwich,5.82,Clear,Foil,3,Hadapsar,1
2025-07-09 01:25:28,2025-07-09 01:46:28,2.4,Burger,3.12,Storm,Paper,0,Koregaon Park,1
2025-07-09 22:55:01,2025-07-10 00:10:01,3.6,Pizza,8.36,Storm,Foil,0,Aundh,0
2025-07-09 12:34:26,2025-07-09 13:59:26,3.2,Sandwich,10.23,Rain,Paper,0,Bavdhan,1
2025-07-10 10:27:35,2025-07-10 10:57:35,3.2,Dessert,5.26,Rain,Plastic,5,Wakad,0
2025-07-09 06:25:29,2025-07-09 06:49:29,3.0,Burger,2.77,Fog,Box,0,Wakad,0
2025-07-09 14:35:18,2025-07-09 15:23:18,4.0,Burger,11.66,Storm,Box,3,Hadapsar,0
2025-07-08 16:14:55,2025-07-08 17:02:55,2.0,Chinese,12.01,Storm,Box,5,Hinjewadi,1
2025-07-09 01:49:56,2025-07-09 02:48:56,3.4,Indian,2.5,Rain,Box,1,Koregaon Park,1
2025-07-10 05:19:11,2025-07-10 05:56:11,2.4,Indian,6.03,Fog,Box,5,Hadapsar,1
2025-07-09 16:49:17,2025-07-09 17:51:17,2.4,Pizza,10.35,Storm,Box,2,Shivaji Nagar,1
2025-07-09 02:17:39,2025-07-09 03:20:39,3.0,Chinese,5.35,Clear,Paper,0,Baner,0
2025-07-09 03:20:58,2025-07-09 04:23:58,1.7,Burger,14.31,Rain,Foil,1,Kharadi,1
2025-07-08 18:47:19,2025-07-08 19:45:19,4.0,Chinese,9.57,Rain,Foil,5,Koregaon Park,1
2025-07-09 18:14:25,2025-07-09 18:47:25,3.0,Chinese,6.1,Fog,Paper,4,Aundh,0
2025-07-08 12:13:29,2025-07-08 13:19:29,1.3,Burger,8.91,Fog,Box,2,Hadapsar,0
2025-07-09 06:01:13,2025-07-09 07:00:13,2.9,Chinese,14.45,Rain,Paper,4,Hadapsar,0
2025-07-10 07:26:22,2025-07-10 08:22:22,2.8,Chinese,6.83,Rain,Foil,5,Aundh,0
2025-07-09 14:37:11,2025-07-09 15:05:11,1.3,Dessert,11.56,Clear,Box,3,Baner,1
2025-07-09 01:53:53,2025-07-09 02:36:53,4.7,Burger,3.13,Clear,Box,0,Aundh,0
2025-07-08 15:40:42,2025-07-08 16:23:42,2.6,Burger,14.76,Rain,Plastic,3,Shivaji Nagar,1
2025-07-09 11:23:45,2025-07-09 12:14:45,3.9,Pizza,4.96,Fog,Box,5,Kothrud,1
2025-07-08 12:09:26,2025-07-08 13:29:26,1.5,Sandwich,12.36,Rain,Plastic,5,Pimple Saudagar,1
2025-07-09 05:33:20,2025-07-09 06:12:20,2.1,Dessert,13.79,Fog,Foil,2,Viman Nagar,1
2025-07-09 19:35:03,2025-07-09 20:55:03,2.2,Chinese,6.89,Rain,Foil,2,Koregaon Park,0
2025-07-08 12:43:26,2025-07-08 13:26:26,2.0,Sandwich,14.47,Clear,Plastic,4,Hinjewadi,1
2025-07-09 01:39:25,2025-07-09 02:57:25,4.0,Pizza,2.71,Rain,Paper,4,Kharadi,1
2025-07-09 12:00:01,2025-07-09 12:49:01,3.1,Chinese,11.72,Clear,Box,1,Viman Nagar,0
2025-07-08 12:39:51,2025-07-08 13:36:51,1.8,Indian,4.83,Rain,Box,4,Aundh,0
2025-07-10 03:24:09,2025-07-10 03:47:09,1.5,Sandwich,13.59,Storm,Box,3,Koregaon Park,1
2025-07-10 02:57:34,2025-07-10 03:38:34,2.4,Sandwich,3.67,Rain,Plastic,1,Bavdhan,1
2025-07-09 12:52:22,2025-07-09 13:26:22,1.5,Burger,13.79,Fog,Paper,5,Pimple Saudagar,1
2025-07-09 00:50:13,2025-07-09 01:37:13,3.2,Burger,5.53,Storm,Paper,5,Kothrud,0
2025-07-10 04:04:35,2025-07-10 04:27:35,2.5,Chinese,8.19,Clear,Foil,5,Kharadi,1
2025-07-09 12:05:21,2025-07-09 12:56:21,3.5,Burger,2.28,Clear,Foil,1,Camp,0
2025-07-08 21:41:51,2025-07-08 22:22:51,4.9,Indian,6.71,Storm,Foil,1,Koregaon Park,1
2025-07-09 14:25:23,2025-07-09 14:46:23,4.6,Chinese,8.43,Storm,Foil,0,Shivaji Nagar,1
2025-07-10 06:01:06,2025-07-10 07:09:06,4.5,Pizza,2.74,Storm,Box,0,Camp,1
2025-07-08 14:05:59,2025-07-08 14:51:59,2.7,Indian,3.92,Rain,Paper,5,Shivaji Nagar,1
2025-07-09 13:53:55,2025-07-09 14:47:55,4.2,Indian,10.67,Rain,Box,5,Baner,0
2025-07-08 13:50:05,2025-07-08 14:46:05,4.2,Indian,11.54,Rain,Box,1,Shivaji Nagar,0
2025-07-09 15:46:31,2025-07-09 16:33:31,2.2,Chinese,10.47,Clear,Box,0,Kothrud,1
2025-07-09 08:58:49,2025-07-09 09:41:49,3.7,Indian,1.14,Fog,Foil,1,Kharadi,0
2025-07-10 06:29:26,2025-07-10 07:16:26,2.6,Pizza,2.05,Fog,Box,1,Hinjewadi,0
2025-07-10 06:53:26,2025-07-10 07:30:26,2.9,Dessert,9.43,Rain,Plastic,2,Aundh,0
2025-07-08 21:34:15,2025-07-08 22:30:15,1.7,Sandwich,3.66,Storm,Foil,0,Hadapsar,0
2025-07-08 20:17:52,2025-07-08 21:22:52,1.5,Burger,13.01,Clear,Plastic,3,Hinjewadi,0
2025-07-09 10:11:47,2025-07-09 11:16:47,2.5,Indian,4.24,Rain,Foil,4,Kharadi,1
2025-07-09 00:56:19,2025-07-09 01:43:19,2.2,Dessert,14.91,Clear,Paper,5,Pimple Saudagar,0
2025-07-09 20:25:45,2025-07-09 21:32:45,2.7,Sandwich,10.93,Rain,Foil,2,Hadapsar,1
2025-07-09 18:02:50,2025-07-09 18:39:50,4.9,Pizza,9.87,Storm,Box,0,Kharadi,1
2025-07-08 16:56:50,2025-07-08 17:41:50,3.9,Pizza,4.22,Rain,Foil,1,Camp,1
2025-07-09 12:24:42,2025-07-09 13:03:42,2.3,Dessert,2.89,Storm,Plastic,0,Baner,1
2025-07-10 08:48:09,2025-07-10 09:22:09,2.5,Indian,2.64,Storm,Box,1,Hadapsar,0
2025-07-09 09:53:05,2025-07-09 11:01:05,2.4,Burger,13.56,Storm,Plastic,2,Pashan,0
2025-07-09 11:15:44,2025-07-09 12:16:44,1.8,Burger,5.17,Clear,Plastic,4,Hadapsar,1
2025-07-09 08:39:21,2025-07-09 09:46:21,3.5,Pizza,7.02,Fog,Plastic,1,Viman Nagar,0
2025-07-09 04:44:55,2025-07-09 05:43:55,3.4,Burger,14.52,Rain,Foil,5,Pashan,1
2025-07-08 16:06:43,2025-07-08 16:58:43,3.8,Sandwich,5.04,Rain,Plastic,4,Shivaji Nagar,1
2025-07-09 13:11:47,2025-07-09 14:30:47,3.5,Dessert,3.12,Clear,Box,0,Hinjewadi,0
2025-07-08 23:12:36,2025-07-09 00:20:36,4.7,Sandwich,6.41,Rain,Box,1,Camp,1
2025-07-09 04:38:17,2025-07-09 06:02:17,3.7,Pizza,10.74,Rain,Plastic,1,Shivaji Nagar,1
2025-07-10 05:22:35,2025-07-10 06:40:35,2.5,Burger,5.65,Storm,Plastic,0,Kothrud,1
2025-07-08 15:09:49,2025-07-08 15:59:49,3.3,Dessert,14.25,Fog,Box,0,Hinjewadi,0
2025-07-10 10:39:05,2025-07-10 11:37:05,2.0,Pizza,7.6,Clear,Box,2,Viman Nagar,0
2025-07-10 04:38:58,2025-07-10 05:37:58,1.5,Chinese,10.84,Storm,Foil,0,Shivaji Nagar,1
2025-07-09 13:05:52,2025-07-09 14:28:52,4.0,Burger,12.12,Rain,Plastic,3,Magarpatta,1
2025-07-08 16:41:33,2025-07-08 17:48:33,2.4,Pizza,8.6,Rain,Foil,5,Hinjewadi,1
2025-07-10 00:12:01,2025-07-10 00:34:01,4.8,Dessert,7.09,Storm,Box,3,Camp,1
2025-07-10 09:31:25,2025-07-10 10:03:25,2.8,Pizza,3.32,Rain,Paper,5,Pashan,1
2025-07-09 00:53:19,2025-07-09 02:18:19,2.3,Dessert,6.18,Fog,Paper,4,Aundh,1
2025-07-08 15:02:57,2025-07-08 15:35:57,2.3,Chinese,9.43,Fog,Paper,2,Kharadi,0
2025-07-08 17:10:43,2025-07-08 18:22:43,1.3,Pizza,8.15,Rain,Foil,0,Hinjewadi,0
2025-07-09 19:01:14,2025-07-09 20:26:14,1.8,Indian,13.96,Clear,Box,5,Baner,1
2025-07-09 00:56:15,2025-07-09 01:33:15,3.8,Chinese,3.58,Fog,Paper,2,Viman Nagar,0
2025-07-10 00:45:14,2025-07-10 02:12:14,2.5,Sandwich,13.07,Storm,Plastic,1,Hinjewadi,0
2025-07-09 20:47:47,2025-07-09 22:07:47,3.5,Dessert,5.93,Rain,Plastic,4,Kothrud,1
2025-07-08 15:52:26,2025-07-08 17:06:26,1.6,Dessert,6.85,Fog,Box,5,Bavdhan,1
2025-07-09 19:47:20,2025-07-09 21:07:20,2.9,Dessert,10.56,Clear,Box,4,Viman Nagar,1
2025-07-10 08:51:13,2025-07-10 10:16:13,1.6,Pizza,9.53,Rain,Foil,0,Pashan,1
2025-07-10 00:36:39,2025-07-10 01:43:39,3.7,Pizza,6.98,Fog,Plastic,5,Hinjewadi,1
2025-07-09 21:00:16,2025-07-09 22:15:16,1.6,Sandwich,4.51,Fog,Foil,0,Hinjewadi,1
2025-07-10 09:34:56,2025-07-10 10:07:56,3.9,Burger,11.46,Fog,Plastic,4,Pimple Saudagar,0
2025-07-09 03:37:35,2025-07-09 04:55:35,4.4,Burger,5.43,Clear,Paper,0,Hinjewadi,0
2025-07-09 00:16:44,2025-07-09 01:12:44,3.2,Indian,11.61,Rain,Box,1,Wakad,0
2025-07-09 17:05:05,2025-07-09 17:32:05,4.9,Pizza,10.44,Fog,Foil,0,Kothrud,0
2025-07-09 08:23:56,2025-07-09 09:46:56,1.1,Sandwich,6.14,Storm,Paper,4,Wakad,1
2025-07-10 04:42:04,2025-07-10 06:03:04,1.4,Dessert,6.79,Rain,Foil,5,Magarpatta,0
2025-07-09 16:54:25,2025-07-09 17:29:25,2.6,Pizza,13.46,Rain,Paper,2,Camp,1
2025-07-10 00:48:39,2025-07-10 02:04:39,1.4,Pizza,14.73,Storm,Plastic,1,Wakad,0
2025-07-10 03:46:15,2025-07-10 05:07:15,1.8,Indian,11.33,Storm,Plastic,0,Shivaji Nagar,1
2025-07-09 00:47:20,2025-07-09 01:27:20,3.2,Pizza,7.82,Storm,Foil,5,Camp,0
2025-07-09 11:13:16,2025-07-09 11:42:16,4.4,Dessert,4.04,Clear,Box,3,Shivaji Nagar,1
2025-07-09 07:21:17,2025-07-09 08:16:17,3.9,Chinese,2.69,Rain,Foil,1,Wakad,1
2025-07-08 22:29:27,2025-07-08 23:00:27,1.7,Indian,8.72,Rain,Plastic,3,Magarpatta,0
2025-07-10 00:56:35,2025-07-10 02:04:35,1.7,Indian,9.12,Clear,Foil,2,Pimple Saudagar,1
2025-07-09 04:20:07,2025-07-09 05:42:07,1.8,Dessert,4.01,Fog,Box,2,Magarpatta,1
2025-07-08 18:22:31,2025-07-08 19:38:31,3.7,Indian,12.16,Fog,Box,5,Kharadi,0
2025-07-08 21:34:54,2025-07-08 22:39:54,2.8,Chinese,4.78,Rain,Paper,4,Kothrud,1
2025-07-10 01:52:56,2025-07-10 02:16:56,3.7,Indian,9.91,Fog,Foil,3,Pashan,1
2025-07-09 13:08:42,2025-07-09 14:01:42,1.8,Pizza,6.59,Fog,Box,2,Shivaji Nagar,1
2025-07-09 23:33:13,2025-07-10 00:38:13,1.3,Burger,9.61,Fog,Box,3,Wakad,0
2025-07-08 16:17:19,2025-07-08 16:51:19,3.6,Burger,9.35,Fog,Box,2,Hinjewadi,0
2025-07-09 14:34:11,2025-07-09 15:36:11,3.1,Burger,8.52,Clear,Paper,1,Wakad,0
2025-07-08 19:50:18,2025-07-08 20:16:18,2.6,Indian,14.98,Rain,Foil,1,Viman Nagar,0
2025-07-10 00:32:52,2025-07-10 00:56:52,3.1,Chinese,10.49,Clear,Foil,3,Baner,1
