food_type,weather_condition,packaging_type,city,distance_km,delivery_duration,rating,delay_flag,delivery_speed,complaint
Fast Food,Clear,Bag,Hadapsar,3.6,48.4,1.1,0,4.46,0
Chinese,Clear,Plastic,Pimpri,7.83,20.18,1.2,0,23.28,0
Indian,Rainy,Eco,Baner,11.96,29.01,4.6,0,24.74,0
Indian,Rainy,Plastic,Wakad,12.58,53.69,4.0,1,14.06,1
Dessert,Clear,Eco,Wakad,13.1,37.29,4.3,0,21.08,0
Indian,Clear,Box,Viman Nagar,8.97,13.37,2.8,1,40.25,0
Indian,Clear,Plastic,Baner,13.14,35.4,2.8,1,22.27,0
Indian,Clear,Bag,Viman Nagar,8.14,49.48,3.1,0,9.87,0
Dessert,Clear,Plastic,Viman Nagar,9.5,36.44,2.0,0,15.64,0
Indian,Cloudy,Eco,Hadapsar,11.62,18.34,3.9,0,38.02,0
Chinese,Stormy,Eco,Wakad,6.96,32.25,4.3,0,12.95,0
Dessert,Stormy,Bag,Hinjewadi,2.03,56.22,4.6,0,2.17,0
Chinese,Cloudy,Eco,Kothrud,5.9,42.91,3.1,0,8.25,0
Dessert,Rainy,Plastic,Hinjewadi,9.74,46.49,2.7,1,12.57,1
Indian,Cloudy,Eco,Shivaji Nagar,3.69,49.3,4.3,0,4.49,0
Chinese,Clear,Plastic,Kothrud,3.08,14.53,4.0,0,12.72,0
Dessert,Rainy,Plastic,Pimpri,5.1,39.08,4.5,0,7.83,0
Fast Food,Clear,Eco,Baner,1.45,28.8,3.6,0,3.02,0
Indian,Clear,Bag,Hadapsar,11.41,16.96,4.5,0,40.37,0
Dessert,Cloudy,Box,Hinjewadi,4.62,20.14,1.4,0,13.76,0
Fast Food,Clear,Bag,Wakad,2.74,49.06,3.7,0,3.35,0
Dessert,Clear,Box,Baner,10.79,18.07,1.4,1,35.83,0
Fast Food,Stormy,Bag,Viman Nagar,12.8,25.62,4.0,1,29.98,1
Indian,Clear,Plastic,Shivaji Nagar,1.28,24.24,3.5,0,3.17,0
Chinese,Clear,Plastic,Hadapsar,4.27,12.43,1.1,1,20.61,0
Fast Food,Stormy,Eco,Viman Nagar,14.23,33.11,3.4,0,25.79,0
Dessert,Rainy,Box,Baner,6.39,48.3,1.6,1,7.94,1
Indian,Rainy,Box,Shivaji Nagar,14.14,11.11,1.6,0,76.36,0
Fast Food,Clear,Eco,Viman Nagar,4.84,15.63,1.6,0,18.58,0
Dessert,Clear,Bag,Shivaji Nagar,4.05,46.01,2.9,0,5.28,0
Dessert,Cloudy,Eco,Baner,4.0,39.68,1.5,1,6.05,1
Dessert,Rainy,Bag,Wakad,2.19,45.76,1.5,0,2.87,0
Fast Food,Rainy,Eco,Koregaon Park,13.55,21.51,2.0,1,37.8,1
Fast Food,Clear,Box,Pimpri,14.72,50.19,1.0,0,17.6,0
Fast Food,Clear,Box,Pimpri,14.36,33.99,2.1,0,25.35,0
Chinese,Stormy,Bag,Viman Nagar,12.93,40.52,3.5,0,19.15,0
Fast Food,Clear,Box,Viman Nagar,12.86,14.61,3.4,1,52.81,0
Fast Food,Rainy,Box,Pimpri,10.26,20.25,4.9,0,30.4,0
Fast Food,Clear,Box,Hinjewadi,12.57,48.67,1.5,0,15.5,0
Chinese,Rainy,Box,Wakad,3.92,21.2,4.5,1,11.09,1
Fast Food,Stormy,Plastic,Pimpri,6.43,14.63,2.6,0,26.37,0
Dessert,Rainy,Eco,Pimpri,9.97,39.86,2.5,0,15.01,0
Fast Food,Clear,Eco,Viman Nagar,13.25,37.4,2.4,0,21.26,0
Dessert,Rainy,Plastic,Shivaji Nagar,10.25,40.39,1.5,0,15.23,0
Dessert,Cloudy,Box,Viman Nagar,12.75,40.92,2.9,0,18.7,0
Dessert,Clear,Eco,Pimpri,7.64,35.01,4.1,1,13.09,0
Chinese,Cloudy,Eco,Hadapsar,11.04,34.69,4.5,1,19.09,0
Chinese,Rainy,Eco,Koregaon Park,14.72,56.21,4.9,1,15.71,1
Chinese,Cloudy,Bag,Viman Nagar,3.15,36.69,4.1,0,5.15,0
Fast Food,Rainy,Plastic,Koregaon Park,13.98,40.87,3.5,0,20.52,0
Dessert,Clear,Bag,Kothrud,8.31,23.35,3.0,1,21.35,0
Chinese,Clear,Bag,Wakad,10.01,53.55,4.5,1,11.22,0
Chinese,Clear,Plastic,Pimpri,13.29,11.22,4.0,0,71.07,0
Fast Food,Stormy,Eco,Shivaji Nagar,6.74,37.86,1.6,0,10.68,0
Chinese,Cloudy,Bag,Hinjewadi,6.86,29.19,3.7,1,14.1,0
Fast Food,Rainy,Eco,Shivaji Nagar,8.38,40.2,2.7,0,12.51,0
Indian,Clear,Bag,Koregaon Park,1.27,28.01,3.4,1,2.72,0
Chinese,Clear,Eco,Hadapsar,7.95,45.88,4.6,0,10.4,0
Indian,Cloudy,Box,Kothrud,5.08,11.02,3.6,0,27.66,0
Fast Food,Clear,Box,Shivaji Nagar,13.99,30.29,4.8,0,27.71,0
Dessert,Clear,Box,Shivaji Nagar,2.23,51.56,4.5,1,2.6,0
Chinese,Rainy,Plastic,Hadapsar,7.43,22.51,1.5,0,19.8,0
Fast Food,Clear,Box,Pimpri,14.26,12.64,1.0,1,67.69,0
Dessert,Clear,Bag,Viman Nagar,13.61,34.83,2.5,0,23.45,0
Dessert,Clear,Eco,Koregaon Park,10.82,58.83,4.5,0,11.04,0
Indian,Clear,Eco,Koregaon Park,9.25,13.21,1.9,0,42.01,0
Fast Food,Stormy,Eco,Wakad,4.93,13.5,3.8,0,21.91,0
Dessert,Clear,Eco,Wakad,6.14,39.76,2.9,0,9.27,0
Chinese,Clear,Bag,Wakad,2.26,22.5,4.0,0,6.03,0
Chinese,Clear,Eco,Koregaon Park,12.01,30.51,1.7,0,23.62,0
Indian,Cloudy,Bag,Viman Nagar,5.53,51.53,2.0,1,6.44,1
Dessert,Clear,Bag,Pimpri,10.35,19.94,2.0,1,31.14,0
Fast Food,Rainy,Eco,Kothrud,6.01,45.96,3.2,0,7.85,0
Chinese,Clear,Eco,Kothrud,7.5,35.22,2.2,0,12.78,0
Dessert,Clear,Eco,Hadapsar,8.77,55.25,4.2,1,9.52,0
Dessert,Clear,Bag,Baner,12.23,58.65,2.4,0,12.51,0
Indian,Cloudy,Plastic,Hinjewadi,3.96,34.25,3.6,0,6.94,0
Chinese,Cloudy,Bag,Viman Nagar,6.58,39.23,4.8,0,10.06,0
Chinese,Clear,Plastic,Baner,2.82,47.29,3.4,1,3.58,0
Fast Food,Rainy,Eco,Wakad,2.06,25.93,2.0,0,4.77,0
Chinese,Stormy,Bag,Kothrud,9.47,21.34,4.3,0,26.63,0
Fast Food,Clear,Eco,Hinjewadi,3.65,58.23,1.1,0,3.76,0
Chinese,Cloudy,Plastic,Baner,1.84,31.63,2.0,1,3.49,1
Indian,Clear,Plastic,Shivaji Nagar,13.56,10.08,2.5,1,80.71,0
Chinese,Stormy,Bag,Pimpri,8.48,51.89,1.8,0,9.81,0
Fast Food,Cloudy,Bag,Hinjewadi,2.88,39.98,3.4,1,4.32,0
Fast Food,Stormy,Bag,Koregaon Park,1.75,18.43,3.2,0,5.7,0
Indian,Rainy,Bag,Hinjewadi,2.68,11.51,2.6,0,13.97,0
Chinese,Clear,Box,Hadapsar,7.6,24.57,2.2,0,18.56,0
Chinese,Stormy,Box,Koregaon Park,10.36,56.39,2.7,0,11.02,0
Indian,Clear,Eco,Baner,9.98,56.67,2.2,1,10.57,1
Chinese,Clear,Plastic,Pimpri,3.02,25.55,1.9,0,7.09,0
Chinese,Cloudy,Plastic,Hadapsar,9.87,51.8,2.4,0,11.43,0
Fast Food,Cloudy,Eco,Hinjewadi,6.67,32.09,3.4,0,12.47,0
Chinese,Stormy,Eco,Kothrud,7.51,42.72,3.6,1,10.55,1
Chinese,Clear,Eco,Koregaon Park,12.22,26.72,2.2,0,27.44,0
Indian,Cloudy,Box,Baner,5.65,35.8,4.8,1,9.47,0
Indian,Cloudy,Eco,Baner,3.06,24.69,2.0,0,7.44,0
Dessert,Clear,Plastic,Shivaji Nagar,13.23,13.06,3.8,0,60.78,0
Fast Food,Clear,Eco,Wakad,3.97,16.97,1.3,1,14.04,1
Chinese,Clear,Bag,Hadapsar,5.12,24.53,3.7,1,12.52,0
Chinese,Clear,Plastic,Kothrud,10.89,58.81,2.8,0,11.11,0
Dessert,Stormy,Plastic,Baner,10.57,58.28,3.3,0,10.88,0
Chinese,Rainy,Plastic,Wakad,12.21,51.38,1.7,1,14.26,1
Fast Food,Cloudy,Box,Hinjewadi,3.57,21.63,2.7,0,9.9,0
Dessert,Stormy,Box,Baner,5.93,32.08,4.1,0,11.09,0
Fast Food,Clear,Plastic,Hadapsar,2.76,31.99,4.1,0,5.18,0
Dessert,Cloudy,Bag,Pimpri,8.57,29.35,2.0,0,17.52,0
Dessert,Clear,Plastic,Pimpri,5.1,12.24,2.4,0,25.0,0
Indian,Cloudy,Box,Baner,10.65,36.73,1.0,0,17.4,0
Fast Food,Clear,Bag,Hadapsar,1.0,13.64,1.4,0,4.4,0
Chinese,Stormy,Plastic,Koregaon Park,1.84,50.1,1.5,1,2.2,1
Chinese,Clear,Box,Wakad,7.06,44.57,2.2,0,9.5,0
Fast Food,Clear,Bag,Viman Nagar,14.41,27.64,4.0,1,31.28,0
Chinese,Cloudy,Eco,Baner,13.47,42.36,3.0,1,19.08,0
Chinese,Clear,Eco,Hinjewadi,14.92,21.65,4.2,1,41.35,0
Fast Food,Rainy,Plastic,Shivaji Nagar,6.84,23.26,4.0,0,17.64,0
Dessert,Clear,Eco,Pimpri,1.65,25.71,3.3,0,3.85,0
Fast Food,Cloudy,Box,Shivaji Nagar,5.28,49.85,3.0,0,6.36,0
Dessert,Clear,Bag,Koregaon Park,10.46,20.53,4.7,0,30.57,0
Chinese,Clear,Plastic,Koregaon Park,2.89,38.14,3.3,1,4.55,0
Chinese,Clear,Bag,Wakad,5.2,20.02,2.9,0,15.58,0
Chinese,Clear,Bag,Wakad,1.79,24.25,4.5,1,4.43,0
Indian,Clear,Bag,Kothrud,7.65,21.77,1.3,0,21.08,0
Dessert,Clear,Box,Koregaon Park,3.92,42.25,3.6,0,5.57,0
Indian,Clear,Plastic,Pimpri,2.28,36.34,1.5,0,3.76,0
Indian,Clear,Eco,Wakad,6.76,46.06,4.3,0,8.81,0
Fast Food,Rainy,Bag,Baner,5.92,21.0,4.2,0,16.91,0
Indian,Cloudy,Bag,Pimpri,8.53,10.46,3.0,0,48.93,0
Fast Food,Clear,Bag,Baner,11.49,44.03,3.6,1,15.66,0
Fast Food,Rainy,Box,Kothrud,2.58,15.74,4.1,1,9.83,1
Indian,Rainy,Eco,Hinjewadi,12.08,22.32,2.9,0,32.47,0
Dessert,Clear,Bag,Hinjewadi,1.37,25.28,4.6,0,3.25,0
Dessert,Cloudy,Box,Hadapsar,7.2,47.34,2.7,0,9.13,0
Dessert,Clear,Box,Hinjewadi,9.22,41.29,4.6,0,13.4,0
Dessert,Rainy,Bag,Wakad,14.4,19.21,3.3,0,44.98,0
Dessert,Clear,Bag,Pimpri,9.03,39.89,2.7,0,13.58,0
Indian,Rainy,Box,Hinjewadi,3.22,45.41,1.0,0,4.25,0
Indian,Rainy,Box,Shivaji Nagar,8.25,29.44,2.2,0,16.81,0
Chinese,Clear,Bag,Kothrud,6.54,22.3,4.5,1,17.6,0
Dessert,Clear,Box,Hinjewadi,7.71,43.95,2.7,0,10.53,0
Indian,Stormy,Box,Hinjewadi,3.76,40.54,2.7,0,5.56,0
Chinese,Clear,Bag,Wakad,8.01,13.9,3.0,1,34.58,0
Dessert,Rainy,Bag,Koregaon Park,3.1,43.33,2.1,1,4.29,1
Fast Food,Stormy,Plastic,Viman Nagar,11.42,34.43,3.0,1,19.9,1
Chinese,Cloudy,Eco,Baner,9.31,47.67,2.5,0,11.72,0
Indian,Rainy,Bag,Wakad,2.1,19.54,4.6,1,6.45,1
Fast Food,Cloudy,Bag,Hinjewadi,13.45,22.91,3.3,1,35.22,0
Fast Food,Cloudy,Bag,Wakad,9.63,37.17,4.3,1,15.54,0
Fast Food,Clear,Eco,Wakad,5.43,34.09,3.7,0,9.56,0
Chinese,Clear,Plastic,Baner,1.64,29.32,1.9,0,3.36,0
Indian,Clear,Box,Wakad,9.85,47.3,4.5,1,12.49,0
Fast Food,Stormy,Eco,Hadapsar,6.23,38.24,1.3,0,9.78,0
Dessert,Rainy,Bag,Viman Nagar,13.71,45.51,2.8,0,18.08,0
Fast Food,Clear,Bag,Koregaon Park,1.49,17.66,2.0,0,5.06,0
Fast Food,Cloudy,Plastic,Pimpri,1.55,46.45,3.2,0,2.0,0
Chinese,Clear,Plastic,Koregaon Park,14.29,33.08,2.2,0,25.92,0
Chinese,Clear,Plastic,Hinjewadi,14.51,11.69,3.9,0,74.47,0
Indian,Rainy,Box,Baner,1.39,21.72,4.7,1,3.84,1
Dessert,Clear,Eco,Hadapsar,11.02,11.29,3.8,0,58.57,0
Chinese,Cloudy,Eco,Hadapsar,4.1,32.84,2.4,0,7.49,0
Fast Food,Clear,Plastic,Wakad,10.82,26.29,3.4,1,24.69,0
Indian,Cloudy,Box,Pimpri,13.16,59.37,4.6,0,13.3,0
Fast Food,Rainy,Eco,Viman Nagar,2.41,53.43,2.1,0,2.71,0
Fast Food,Clear,Bag,Pimpri,4.34,51.28,1.5,0,5.08,0
Chinese,Stormy,Bag,Kothrud,1.34,35.06,1.5,0,2.29,0
Indian,Rainy,Bag,Hadapsar,1.61,50.35,3.0,1,1.92,1
Dessert,Clear,Eco,Hadapsar,1.41,23.34,3.9,1,3.62,0
Dessert,Clear,Plastic,Hinjewadi,12.21,38.03,3.6,0,19.26,0
Chinese,Cloudy,Bag,Shivaji Nagar,5.18,29.65,2.8,0,10.48,0
Chinese,Clear,Plastic,Koregaon Park,7.9,18.57,3.9,0,25.53,0
Indian,Clear,Box,Kothrud,12.03,13.63,3.5,0,52.96,0
Dessert,Clear,Bag,Wakad,7.93,37.91,3.5,0,12.55,0
Dessert,Clear,Box,Hinjewadi,7.01,14.88,1.8,1,28.27,0
Dessert,Cloudy,Plastic,Viman Nagar,1.16,45.9,2.3,0,1.52,0
Fast Food,Clear,Eco,Hadapsar,8.95,56.07,2.4,0,9.58,0
Dessert,Clear,Plastic,Pimpri,2.75,18.11,4.2,0,9.11,0
Fast Food,Clear,Bag,Viman Nagar,11.71,33.55,4.1,0,20.94,0
Indian,Clear,Bag,Shivaji Nagar,4.61,46.94,2.0,0,5.89,0
Fast Food,Stormy,Plastic,Pimpri,10.44,24.34,1.2,0,25.74,0
Indian,Clear,Bag,Hadapsar,10.05,56.04,4.1,1,10.76,0
Dessert,Stormy,Bag,Wakad,9.63,54.42,2.6,0,10.62,0
Dessert,Clear,Box,Pimpri,4.74,15.19,1.9,0,18.72,0
Indian,Clear,Eco,Baner,4.74,11.37,1.5,0,25.01,0
Chinese,Cloudy,Plastic,Koregaon Park,13.08,58.82,1.1,1,13.34,1
Indian,Clear,Box,Wakad,1.18,57.82,2.7,0,1.22,0
Chinese,Cloudy,Bag,Pimpri,3.54,31.11,2.4,1,6.83,1
Fast Food,Stormy,Box,Koregaon Park,9.54,12.53,3.8,0,45.68,0
Fast Food,Clear,Eco,Hinjewadi,12.44,40.94,4.9,1,18.23,0
Fast Food,Clear,Plastic,Hadapsar,6.02,24.67,1.8,0,14.64,0
Dessert,Cloudy,Eco,Koregaon Park,10.15,56.84,2.0,0,10.71,0
Fast Food,Clear,Eco,Pimpri,8.8,49.73,2.3,1,10.62,1
Chinese,Clear,Box,Shivaji Nagar,1.9,42.48,2.9,0,2.68,0
Fast Food,Clear,Box,Shivaji Nagar,9.7,24.23,3.8,0,24.02,0
Indian,Clear,Eco,Hadapsar,12.39,45.06,2.4,0,16.5,0
Indian,Cloudy,Bag,Viman Nagar,14.89,24.46,1.4,1,36.52,0
Dessert,Clear,Plastic,Viman Nagar,1.41,11.88,3.9,0,7.12,0
Indian,Clear,Bag,Shivaji Nagar,10.24,35.42,4.2,0,17.35,0
Chinese,Rainy,Bag,Viman Nagar,6.8,34.43,2.0,0,11.85,0
Fast Food,Clear,Plastic,Pimpri,1.14,48.15,1.5,0,1.42,0
Dessert,Clear,Box,Shivaji Nagar,9.6,53.28,3.1,0,10.81,0
Fast Food,Cloudy,Bag,Koregaon Park,2.71,27.72,1.8,0,5.87,0
Fast Food,Clear,Box,Hadapsar,6.3,32.47,2.5,0,11.64,0
Chinese,Cloudy,Plastic,Hinjewadi,4.66,33.52,4.1,0,8.34,0
Indian,Cloudy,Bag,Koregaon Park,6.06,26.21,1.9,1,13.87,1
Indian,Clear,Box,Koregaon Park,7.9,47.17,4.2,0,10.05,0
Fast Food,Rainy,Box,Baner,6.03,36.11,3.7,0,10.02,0
Dessert,Clear,Bag,Hadapsar,8.74,55.7,1.9,1,9.41,1
Indian,Clear,Plastic,Shivaji Nagar,4.34,42.52,3.1,0,6.12,0
Dessert,Cloudy,Eco,Wakad,9.9,20.59,3.5,0,28.85,0
Indian,Cloudy,Box,Pimpri,12.95,18.24,1.8,0,42.6,0
Dessert,Clear,Plastic,Baner,4.14,28.62,1.6,1,8.68,1
Chinese,Rainy,Bag,Shivaji Nagar,8.11,27.35,3.1,1,17.79,1
Dessert,Stormy,Box,Hinjewadi,10.08,30.36,3.8,1,19.92,1
Chinese,Stormy,Box,Koregaon Park,8.9,19.18,2.9,0,27.84,0
Chinese,Rainy,Box,Wakad,6.12,58.91,1.3,1,6.23,1
Dessert,Clear,Plastic,Viman Nagar,9.99,17.29,4.7,0,34.67,0
Chinese,Clear,Box,Wakad,1.4,42.63,3.8,1,1.97,0
Fast Food,Stormy,Box,Pimpri,6.18,10.65,3.5,0,34.82,0
Chinese,Clear,Bag,Viman Nagar,8.46,30.35,3.6,0,16.72,0
Indian,Rainy,Box,Koregaon Park,1.29,25.46,2.6,0,3.04,0
Dessert,Clear,Plastic,Hinjewadi,8.11,29.1,4.9,0,16.72,0
Fast Food,Clear,Bag,Koregaon Park,10.16,34.9,1.5,0,17.47,0
Dessert,Clear,Eco,Pimpri,11.63,40.02,4.0,0,17.44,0
Indian,Stormy,Bag,Hinjewadi,2.59,39.18,2.7,0,3.97,0
Indian,Clear,Box,Koregaon Park,14.87,41.54,4.5,0,21.48,0
Indian,Rainy,Eco,Kothrud,9.49,52.23,3.9,0,10.9,0
Chinese,Clear,Bag,Baner,6.08,54.34,3.2,0,6.71,0
Chinese,Clear,Box,Hinjewadi,4.49,46.86,4.8,1,5.75,0
Dessert,Clear,Bag,Kothrud,9.02,13.95,4.6,0,38.8,0
Dessert,Rainy,Plastic,Shivaji Nagar,13.34,58.06,1.2,0,13.79,0
Fast Food,Clear,Box,Shivaji Nagar,8.29,57.37,1.8,0,8.67,0
Fast Food,Clear,Plastic,Koregaon Park,10.26,45.59,3.7,1,13.5,0
Dessert,Clear,Box,Viman Nagar,6.01,35.87,4.7,0,10.05,0
Chinese,Clear,Plastic,Koregaon Park,6.43,22.53,2.7,0,17.12,0
Indian,Stormy,Eco,Viman Nagar,5.01,47.82,1.2,1,6.29,1
Dessert,Stormy,Plastic,Koregaon Park,10.88,53.89,3.6,0,12.11,0
Fast Food,Clear,Bag,Wakad,6.03,43.26,1.8,0,8.36,0
Chinese,Rainy,Box,Pimpri,3.67,41.45,3.2,0,5.31,0
Dessert,Stormy,Bag,Baner,6.17,19.65,2.5,0,18.84,0
Dessert,Clear,Plastic,Viman Nagar,12.95,27.89,3.2,0,27.86,0
Chinese,Cloudy,Box,Pimpri,11.34,46.16,4.7,0,14.74,0
Dessert,Stormy,Plastic,Wakad,5.68,10.84,2.9,1,31.44,1
