driver_rating,food_type,distance_km,weather_condition,packaging_type,customer_past_complaints,city,delivery_duration,complaint
2.3,Burger,7.09,Fog,Foil,5,Hadapsar,32.6,1
3.7,Chinese,18.71,Fog,Plastic,3,Pimpri,55.4,0
3.6,Pizza,10.89,Fog,Paper,4,Hadapsar,18.0,0
2.1,Indian,3.34,Storm,Paper,3,Hadapsar,67.2,0
1.5,Chinese,10.43,Rain,Paper,5,Koregaon Park,57.3,1
2.1,Pizza,12.57,Clear,Foil,5,Shivaji Nagar,37.0,1
2.0,Burger,2.04,Clear,Box,1,Wakad,69.4,1
5.0,Pizza,14.9,Storm,Box,1,Baner,63.1,1
3.0,Chinese,15.83,Storm,Foil,2,Hinjewadi,45.2,0
4.4,Biryani,14.8,Fog,Box,2,Wakad,77.8,0
3.5,South Indian,8.69,Clear,Foil,4,Viman Nagar,59.4,0
2.1,Chinese,15.18,Clear,Box,2,Hinjewadi,55.2,1
2.8,South Indian,11.81,Rain,Box,2,Kothrud,35.7,1
4.3,Chinese,15.06,Fog,Foil,1,Swargate,21.3,0
2.5,Burger,16.63,Fog,Box,1,Baner,88.3,0
2.0,Biryani,2.11,Storm,Box,2,Shivaji Nagar,67.5,1
1.1,Burger,15.71,Clear,Plastic,3,Koregaon Park,61.9,1
3.2,South Indian,1.44,Storm,Foil,2,Pimpri,16.6,0
4.5,Biryani,1.39,Rain,Plastic,0,Hadapsar,23.0,0
2.3,Pizza,14.72,Clear,Box,2,Shivaji Nagar,10.8,1
4.2,Burger,0.69,Rain,Foil,3,Shivaji Nagar,29.1,0
3.2,South Indian,14.18,Rain,Paper,3,Baner,23.5,0
2.6,Indian,1.74,Clear,Box,4,Baner,63.3,1
3.4,Biryani,17.1,Fog,Box,5,Koregaon Park,80.9,0
1.5,Biryani,6.96,Clear,Box,3,Baner,24.4,1
1.8,Indian,14.01,Fog,Plastic,2,Viman Nagar,13.7,0
2.8,Indian,13.76,Fog,Plastic,1,Shivaji Nagar,79.9,0
1.1,Biryani,5.31,Fog,Plastic,5,Kothrud,89.3,0
3.8,Burger,9.05,Fog,Paper,4,Baner,71.2,1
4.0,Pizza,6.0,Clear,Plastic,0,Kothrud,41.6,0
2.3,Chinese,19.54,Storm,Foil,3,Swargate,67.7,1
3.3,Chinese,12.01,Rain,Paper,4,Kothrud,84.0,0
4.0,Pizza,6.0,Clear,Plastic,0,Kothrud,41.6,0
2.9,Chinese,16.04,Rain,Plastic,4,Koregaon Park,15.2,0
4.6,Chinese,13.71,Rain,Plastic,4,Swargate,28.1,0
2.4,Indian,14.44,Rain,Paper,0,Koregaon Park,26.1,0
3.4,Chinese,18.63,Storm,Plastic,1,Hadapsar,70.3,1
3.7,Biryani,14.66,Storm,Paper,5,Pimpri,87.6,0
2.4,Chinese,6.19,Rain,Box,3,Shivaji Nagar,33.3,1
3.4,Indian,13.0,Rain,Foil,0,Viman Nagar,55.6,0
3.6,Pizza,6.05,Clear,Plastic,1,Hinjewadi,43.8,0
4.6,South Indian,14.06,Fog,Plastic,3,Viman Nagar,25.4,0
4.1,Pizza,13.9,Rain,Box,4,Viman Nagar,68.5,1
2.4,Biryani,18.8,Clear,Foil,3,Hinjewadi,47.6,1
4.6,Chinese,9.62,Rain,Box,4,Wakad,42.2,0
2.6,Chinese,7.09,Storm,Box,4,Pimpri,19.3,1
2.8,Biryani,2.56,Fog,Box,3,Kothrud,37.7,0
1.3,Biryani,6.79,Fog,Plastic,3,Viman Nagar,27.7,1
4.5,Pizza,10.42,Fog,Foil,0,Koregaon Park,45.0,0
3.6,Pizza,4.81,Fog,Plastic,4,Pimpri,69.6,1
1.6,South Indian,5.56,Rain,Paper,3,Hadapsar,54.2,1
1.8,Biryani,19.15,Rain,Plastic,5,Baner,11.2,0
1.7,Biryani,5.06,Fog,Paper,4,Kothrud,75.4,1
1.5,Pizza,14.82,Rain,Paper,4,Viman Nagar,27.3,1
4.5,South Indian,14.68,Rain,Plastic,4,Viman Nagar,39.0,0
2.4,Pizza,8.63,Rain,Plastic,1,Wakad,49.9,0
2.1,South Indian,3.33,Fog,Plastic,3,Koregaon Park,48.0,0
1.1,South Indian,1.26,Fog,Box,3,Viman Nagar,49.0,0
2.6,Pizza,19.92,Clear,Plastic,1,Koregaon Park,83.0,1
4.8,Burger,6.39,Rain,Foil,5,Koregaon Park,77.2,1
3.9,Chinese,7.29,Storm,Foil,1,Wakad,23.8,0
3.3,Biryani,7.3,Fog,Paper,0,Koregaon Park,80.5,1
2.7,Burger,10.45,Fog,Foil,0,Viman Nagar,60.6,0
2.8,Indian,6.39,Fog,Box,3,Baner,70.3,1
1.4,Pizza,8.61,Fog,Paper,3,Swargate,30.7,0
3.5,Pizza,6.45,Clear,Plastic,1,Swargate,22.8,0
3.4,Pizza,14.64,Rain,Box,3,Hadapsar,66.3,0
1.1,South Indian,8.42,Clear,Plastic,0,Shivaji Nagar,25.0,0
4.0,Burger,8.67,Rain,Plastic,1,Shivaji Nagar,24.9,0
4.2,Burger,6.68,Fog,Paper,2,Swargate,46.2,0
4.1,Biryani,18.8,Fog,Paper,5,Kothrud,40.5,1
3.8,Pizza,16.85,Rain,Paper,3,Swargate,32.1,0
4.3,Burger,3.33,Rain,Paper,0,Koregaon Park,32.4,0
1.4,Pizza,14.8,Clear,Plastic,0,Wakad,10.1,0
1.7,South Indian,13.17,Fog,Plastic,5,Viman Nagar,59.9,1
4.5,Chinese,3.9,Fog,Plastic,3,Wakad,76.1,1
2.1,Chinese,5.88,Rain,Box,5,Viman Nagar,16.9,1
5.0,Pizza,16.57,Fog,Box,1,Wakad,19.1,0
3.4,Chinese,13.89,Storm,Paper,2,Viman Nagar,85.6,0
2.7,Pizza,8.02,Rain,Plastic,4,Wakad,17.2,1
1.9,Indian,10.86,Clear,Box,5,Hadapsar,51.2,1
3.2,Biryani,17.78,Rain,Paper,3,Hadapsar,87.2,1
2.1,Chinese,16.13,Rain,Paper,0,Pimpri,12.8,0
4.2,Indian,2.17,Fog,Foil,1,Baner,38.4,0
1.1,Biryani,19.35,Fog,Paper,2,Hadapsar,31.5,0
3.0,Chinese,4.42,Fog,Plastic,2,Pimpri,61.9,1
1.2,Pizza,5.11,Storm,Plastic,2,Baner,41.6,0
3.8,Indian,11.42,Storm,Foil,0,Kothrud,35.9,0
1.7,Indian,8.83,Rain,Paper,3,Pimpri,87.2,1
2.0,Pizza,5.73,Fog,Plastic,3,Hinjewadi,53.2,0
3.9,Indian,17.5,Storm,Paper,2,Shivaji Nagar,40.9,0
3.3,South Indian,1.59,Rain,Paper,1,Hinjewadi,62.1,0
1.3,Chinese,18.04,Storm,Box,1,Shivaji Nagar,20.9,0
1.7,Burger,1.94,Fog,Foil,3,Swargate,73.8,1
3.2,Pizza,11.61,Fog,Plastic,4,Swargate,38.6,0
2.3,Burger,6.36,Clear,Foil,4,Pimpri,61.2,1
4.9,Indian,2.97,Fog,Plastic,2,Hinjewadi,77.7,0
3.3,South Indian,4.21,Fog,Paper,2,Kothrud,54.8,0
4.6,Indian,9.51,Clear,Box,0,Baner,38.9,1
4.0,Pizza,1.99,Fog,Plastic,0,Pimpri,35.0,0
2.9,Indian,6.6,Fog,Box,5,Hadapsar,66.8,0
2.9,Chinese,16.79,Rain,Foil,0,Shivaji Nagar,60.8,0
2.0,Pizza,11.2,Rain,Paper,1,Swargate,61.7,1
3.5,South Indian,8.4,Clear,Paper,4,Hadapsar,84.2,0
4.7,Burger,19.36,Clear,Paper,2,Hinjewadi,17.6,0
2.5,Burger,15.57,Clear,Box,3,Kothrud,42.3,0
2.5,Burger,9.49,Fog,Foil,2,Swargate,55.3,0
1.5,South Indian,4.76,Storm,Box,5,Baner,84.2,0
1.3,Biryani,3.68,Rain,Plastic,4,Hadapsar,16.9,0
2.4,South Indian,11.44,Clear,Plastic,5,Shivaji Nagar,73.0,1
3.9,Indian,3.38,Rain,Box,2,Hinjewadi,52.6,0
3.4,Indian,8.15,Clear,Box,3,Pimpri,53.3,0
3.2,Biryani,5.07,Clear,Foil,3,Pimpri,83.5,1
3.5,Pizza,10.56,Rain,Foil,4,Hadapsar,40.1,0
1.8,Indian,7.02,Clear,Plastic,2,Swargate,77.4,1
2.6,Burger,10.03,Clear,Paper,3,Hadapsar,68.8,0
1.6,Burger,12.38,Fog,Paper,1,Pimpri,26.9,1
2.5,Chinese,18.97,Fog,Plastic,2,Koregaon Park,35.2,0
2.7,Pizza,2.18,Rain,Plastic,5,Kothrud,44.7,0
2.1,Burger,12.31,Rain,Box,4,Wakad,64.5,1
1.3,Indian,12.61,Clear,Foil,0,Wakad,21.7,1
3.9,Indian,2.0,Fog,Box,1,Baner,15.7,1
4.4,Indian,10.05,Clear,Paper,3,Koregaon Park,39.1,0
1.4,Burger,18.57,Clear,Plastic,3,Hadapsar,63.5,1
1.3,Biryani,3.35,Storm,Plastic,5,Koregaon Park,69.2,1
1.4,Burger,1.23,Clear,Foil,4,Hinjewadi,84.2,1
1.3,Indian,15.8,Storm,Foil,3,Wakad,24.5,1
3.6,Biryani,15.02,Storm,Foil,1,Koregaon Park,67.7,0
1.2,South Indian,15.75,Fog,Box,3,Shivaji Nagar,32.7,1
1.1,Burger,3.6,Rain,Foil,0,Wakad,77.1,1
3.3,Burger,11.65,Storm,Plastic,5,Pimpri,72.3,1
2.9,South Indian,19.88,Rain,Foil,4,Swargate,63.1,0
2.2,Biryani,10.4,Fog,Box,3,Baner,51.5,1
3.4,Biryani,17.54,Storm,Foil,4,Swargate,26.1,0
4.7,Burger,17.2,Storm,Paper,4,Viman Nagar,51.9,1
4.6,Pizza,15.91,Storm,Foil,4,Pimpri,35.6,1
2.0,Chinese,9.85,Storm,Paper,3,Viman Nagar,34.1,0
2.8,South Indian,6.91,Storm,Foil,2,Hinjewadi,64.4,0
1.0,Indian,17.75,Fog,Plastic,3,Baner,53.7,0
4.9,Pizza,3.81,Fog,Box,5,Kothrud,29.4,0
4.4,South Indian,2.59,Rain,Box,1,Kothrud,40.8,0
1.8,Burger,0.82,Storm,Foil,2,Kothrud,89.8,1
1.7,Burger,17.13,Storm,Box,2,Hadapsar,57.8,0
3.8,Chinese,6.5,Storm,Box,5,Koregaon Park,52.1,0
4.2,South Indian,10.75,Rain,Foil,4,Viman Nagar,42.7,0
4.3,Burger,19.33,Fog,Plastic,2,Wakad,67.9,0
1.5,Indian,19.68,Clear,Paper,4,Wakad,61.9,1
1.3,Biryani,1.16,Fog,Paper,2,Baner,89.4,1
2.9,Chinese,10.08,Clear,Foil,4,Shivaji Nagar,35.9,1
1.5,Chinese,3.83,Rain,Box,2,Baner,14.1,0
3.3,Chinese,11.2,Rain,Foil,5,Koregaon Park,68.6,0
3.1,Indian,3.54,Storm,Plastic,5,Pimpri,19.4,0
4.5,South Indian,14.02,Fog,Paper,0,Viman Nagar,83.5,0
4.2,South Indian,12.83,Rain,Plastic,2,Shivaji Nagar,38.4,0
2.1,Biryani,2.85,Storm,Plastic,4,Pimpri,22.4,1
3.7,Pizza,4.27,Storm,Box,0,Viman Nagar,73.8,0
4.5,Pizza,3.44,Clear,Plastic,2,Baner,82.8,0
3.9,Biryani,1.66,Fog,Paper,2,Swargate,35.1,0
3.1,Biryani,11.58,Clear,Paper,1,Viman Nagar,75.2,1
3.3,South Indian,14.53,Rain,Plastic,2,Hinjewadi,79.5,0
3.2,Biryani,14.47,Clear,Foil,4,Kothrud,86.4,1
4.8,Indian,19.69,Rain,Paper,5,Hinjewadi,30.7,1
2.1,Biryani,10.66,Clear,Plastic,4,Baner,66.1,0
2.8,Biryani,6.98,Storm,Paper,2,Wakad,62.7,1
3.8,South Indian,15.06,Fog,Plastic,2,Viman Nagar,76.3,0
1.5,Biryani,6.96,Clear,Box,3,Baner,24.4,1
1.4,Burger,6.92,Storm,Foil,2,Shivaji Nagar,66.0,0
2.1,South Indian,18.27,Fog,Paper,4,Shivaji Nagar,22.6,0
2.8,Burger,14.41,Storm,Box,2,Hadapsar,43.7,0
1.6,Burger,14.85,Storm,Plastic,4,Pimpri,73.2,1
4.9,Burger,2.55,Rain,Foil,0,Koregaon Park,23.3,1
2.7,Indian,10.14,Clear,Plastic,2,Koregaon Park,78.1,0
4.8,Burger,12.68,Storm,Paper,3,Viman Nagar,84.1,0
3.9,Biryani,1.66,Fog,Paper,2,Swargate,35.1,0
1.3,Pizza,13.86,Rain,Paper,2,Shivaji Nagar,27.1,1
4.0,Chinese,7.81,Storm,Paper,2,Baner,54.4,0
3.2,Biryani,1.92,Fog,Paper,4,Koregaon Park,26.1,0
4.0,Indian,1.35,Rain,Foil,1,Baner,12.0,0
4.1,Burger,14.65,Clear,Box,1,Shivaji Nagar,82.5,0
2.4,South Indian,4.86,Clear,Paper,2,Kothrud,32.3,1
2.3,Indian,10.57,Rain,Box,5,Viman Nagar,21.4,1
2.1,Pizza,0.76,Storm,Paper,0,Shivaji Nagar,89.1,1
5.0,Biryani,11.97,Storm,Plastic,5,Shivaji Nagar,27.7,0
2.0,Biryani,12.91,Fog,Box,3,Wakad,85.4,0
3.0,Chinese,11.91,Storm,Box,5,Swargate,61.5,1
3.8,Pizza,9.7,Clear,Box,5,Swargate,88.0,0
3.3,Burger,9.37,Clear,Plastic,4,Koregaon Park,73.8,1
1.6,Pizza,18.45,Storm,Box,4,Hinjewadi,86.8,0
4.5,Biryani,13.39,Fog,Plastic,4,Pimpri,31.7,1
3.9,Burger,1.23,Rain,Plastic,2,Koregaon Park,47.8,0
1.7,Biryani,18.18,Rain,Paper,5,Viman Nagar,53.0,1
4.5,Pizza,11.45,Storm,Box,1,Baner,69.3,1
2.5,Biryani,6.77,Storm,Paper,2,Baner,84.2,1
2.9,Pizza,19.16,Fog,Paper,5,Baner,21.2,1
3.2,South Indian,10.98,Fog,Foil,1,Hadapsar,60.3,0
4.8,Indian,8.62,Rain,Plastic,5,Viman Nagar,25.4,0
4.9,Burger,19.38,Fog,Foil,0,Pimpri,21.6,0
3.4,Pizza,19.1,Rain,Foil,4,Shivaji Nagar,21.9,0
3.8,Indian,7.43,Storm,Plastic,3,Baner,15.7,0
1.9,South Indian,0.59,Rain,Plastic,5,Hinjewadi,78.2,1
1.9,Chinese,14.53,Storm,Foil,4,Koregaon Park,57.5,1
4.8,Pizza,12.0,Rain,Paper,5,Pimpri,14.7,0
4.8,Pizza,4.35,Rain,Plastic,0,Kothrud,83.7,1
4.4,Indian,16.39,Storm,Box,5,Hadapsar,47.7,1
4.4,Biryani,1.73,Rain,Box,2,Swargate,67.9,1
2.3,Pizza,7.79,Clear,Foil,1,Wakad,72.6,1
4.4,Biryani,11.49,Storm,Box,2,Kothrud,33.4,0
2.1,Indian,19.44,Storm,Foil,4,Baner,88.6,1
3.4,Chinese,2.67,Rain,Box,3,Hadapsar,69.7,1
2.7,Chinese,17.85,Fog,Foil,0,Hadapsar,21.2,0
2.4,Burger,15.13,Storm,Foil,2,Shivaji Nagar,86.6,1
1.8,Pizza,10.93,Fog,Box,3,Pimpri,52.3,0
3.5,Biryani,17.18,Clear,Foil,1,Kothrud,39.9,0
2.3,Burger,8.04,Clear,Plastic,3,Koregaon Park,25.4,0
1.3,Biryani,17.33,Fog,Plastic,2,Hinjewadi,45.3,1
2.7,Pizza,17.57,Rain,Box,3,Pimpri,66.0,1
1.9,Biryani,8.43,Fog,Foil,2,Baner,16.2,0
1.7,Biryani,7.38,Storm,Foil,0,Baner,20.5,0
1.3,Chinese,8.91,Storm,Paper,1,Wakad,34.6,1
1.3,Pizza,9.12,Clear,Box,2,Hadapsar,36.4,1
1.4,Pizza,18.71,Fog,Box,2,Shivaji Nagar,89.8,1
2.4,Pizza,11.26,Fog,Plastic,0,Viman Nagar,66.8,1
3.2,South Indian,17.23,Rain,Box,4,Shivaji Nagar,13.4,0
3.3,Chinese,6.22,Clear,Paper,5,Baner,88.3,1
1.5,South Indian,11.0,Clear,Plastic,4,Hinjewadi,19.3,0
2.4,Biryani,9.9,Rain,Paper,5,Hinjewadi,25.3,1
2.5,South Indian,10.25,Rain,Paper,3,Hinjewadi,19.3,1
3.0,Burger,10.14,Fog,Foil,1,Koregaon Park,59.7,0
1.8,Biryani,9.12,Fog,Paper,5,Pimpri,89.7,1
2.9,Burger,17.33,Storm,Foil,0,Baner,29.4,0
4.1,Burger,11.9,Storm,Foil,0,Hinjewadi,89.6,0
1.1,Burger,10.94,Rain,Foil,2,Hadapsar,44.8,1
2.1,Pizza,12.57,Clear,Foil,5,Shivaji Nagar,37.0,1
2.6,Chinese,4.01,Storm,Paper,3,Hadapsar,88.2,1
2.8,South Indian,3.1,Clear,Paper,4,Koregaon Park,67.1,0
4.8,Biryani,5.75,Rain,Plastic,3,Baner,80.7,1
3.9,South Indian,10.24,Rain,Box,3,Baner,79.5,1
4.5,Indian,6.19,Rain,Box,4,Pimpri,63.7,0
2.9,Burger,14.62,Clear,Foil,3,Hadapsar,16.1,0
3.9,South Indian,18.86,Clear,Foil,5,Swargate,56.2,0
4.7,Biryani,16.99,Rain,Foil,0,Wakad,63.3,0
4.4,South Indian,3.99,Clear,Paper,0,Wakad,14.9,0
3.4,South Indian,16.97,Rain,Foil,3,Hadapsar,68.2,1
3.1,Biryani,14.3,Rain,Box,5,Viman Nagar,27.5,0
4.2,Indian,9.42,Fog,Foil,3,Koregaon Park,53.6,0
2.4,Indian,14.66,Clear,Box,4,Wakad,13.6,1
3.3,South Indian,1.77,Storm,Paper,4,Hadapsar,82.2,1
2.5,Indian,10.1,Storm,Plastic,5,Wakad,11.5,0
1.6,Biryani,15.71,Rain,Plastic,0,Viman Nagar,12.7,0
4.8,Indian,10.24,Clear,Foil,0,Viman Nagar,67.5,1
3.9,Chinese,7.8,Fog,Plastic,2,Hinjewadi,47.0,0
3.4,South Indian,8.82,Fog,Foil,0,Hinjewadi,50.6,1
1.3,South Indian,14.63,Fog,Foil,4,Viman Nagar,32.9,1
1.9,Pizza,2.09,Storm,Foil,4,Wakad,81.0,0
2.7,Chinese,17.86,Fog,Foil,2,Koregaon Park,41.5,0
1.2,Burger,9.78,Storm,Box,0,Koregaon Park,26.0,1
3.3,South Indian,4.57,Rain,Box,5,Wakad,61.5,1
2.0,Burger,17.47,Storm,Foil,1,Hinjewadi,83.3,1
3.7,Chinese,18.12,Rain,Foil,1,Hinjewadi,28.8,1
1.3,Chinese,12.11,Fog,Paper,2,Koregaon Park,14.9,0
3.9,South Indian,19.48,Fog,Box,2,Pimpri,41.0,0
4.8,Biryani,12.54,Clear,Foil,0,Wakad,71.1,0
4.5,Biryani,17.55,Fog,Plastic,0,Viman Nagar,47.2,1
4.5,Indian,2.17,Fog,Foil,1,Hadapsar,63.0,0
3.9,Chinese,6.42,Storm,Foil,1,Kothrud,22.0,0
3.6,Biryani,13.41,Storm,Plastic,3,Koregaon Park,50.7,0
2.4,Burger,4.7,Fog,Plastic,0,Hadapsar,58.8,1
2.7,Burger,19.35,Rain,Box,0,Baner,16.9,0
4.6,South Indian,4.03,Fog,Box,0,Wakad,17.3,0
3.3,South Indian,13.96,Rain,Paper,4,Hinjewadi,74.2,0
2.9,Biryani,10.97,Fog,Foil,4,Swargate,84.9,0
1.7,Burger,16.29,Clear,Box,0,Wakad,54.5,1
4.7,South Indian,5.63,Rain,Plastic,0,Koregaon Park,49.7,0
3.7,Pizza,11.74,Rain,Plastic,5,Shivaji Nagar,65.8,1
1.2,Chinese,15.67,Storm,Plastic,2,Baner,30.2,1
1.1,South Indian,3.26,Clear,Paper,2,Swargate,19.7,1
4.5,Pizza,5.96,Fog,Foil,2,Wakad,35.7,0
3.3,Biryani,14.32,Fog,Foil,3,Hinjewadi,38.0,0
4.5,Biryani,10.94,Storm,Plastic,2,Koregaon Park,54.8,0
3.4,Pizza,15.75,Storm,Plastic,5,Baner,25.1,1
5.0,Chinese,16.72,Rain,Paper,2,Kothrud,36.4,0
2.5,Pizza,3.36,Clear,Paper,0,Viman Nagar,52.4,0
4.2,Biryani,4.02,Rain,Foil,4,Wakad,42.0,0
4.9,Burger,2.55,Rain,Foil,0,Koregaon Park,23.3,1
1.2,Indian,12.79,Storm,Box,2,Shivaji Nagar,50.9,1
3.2,Burger,0.53,Fog,Foil,4,Swargate,84.2,0
4.5,South Indian,8.27,Storm,Box,5,Swargate,36.4,0
4.5,South Indian,12.79,Rain,Plastic,2,Hadapsar,55.5,0
2.5,South Indian,6.92,Clear,Paper,5,Wakad,47.9,1
1.2,Indian,9.01,Rain,Foil,2,Swargate,71.5,1
4.1,Biryani,14.41,Rain,Paper,0,Wakad,51.9,0
4.6,Chinese,1.21,Rain,Box,0,Pimpri,84.1,0
1.7,South Indian,15.43,Storm,Plastic,3,Wakad,82.5,0
3.7,Biryani,5.51,Storm,Box,2,Hadapsar,73.8,1
4.4,Burger,12.14,Storm,Box,4,Swargate,33.1,1
3.3,Pizza,4.74,Fog,Plastic,0,Viman Nagar,47.2,0
2.5,Indian,13.55,Clear,Paper,5,Kothrud,22.4,0
1.7,Chinese,8.11,Fog,Box,2,Hadapsar,41.3,0
1.8,Chinese,15.1,Fog,Foil,5,Viman Nagar,41.2,1
2.1,Indian,19.44,Storm,Foil,4,Baner,88.6,1
